COD_PRODUCTO;COD_PRESENTACION;PRECIO_AL_POR_MAYOR;PRECIO_AL_DETAL;
8;23;4924;5565;
8;24;9848;9864;
8;25;12310;14698;
8;26;24620;31612;
8;27;49240;63353;
8;28;98480;141658;
8;29;123100;150935;
8;30;246200;264033;
9;11;263;313;
9;12;526;561;
9;13;1052;1278;
9;14;2104;3017;
9;15;2630;3870;
9;16;5260;5493;
9;17;10520;14596;
9;18;21040;30805;
9;19;26300;38346;
9;20;52600;74091;
9;21;263;269;
9;22;526;731;
9;23;1052;1458;
9;24;2104;2499;
9;25;2630;3818;
9;26;5260;7013;
9;27;10520;14015;
9;28;21040;23260;
9;29;26300;37289;
9;30;52600;68208;
10;11;1175;1442;
10;12;2351;2940;
10;13;4702;6219;
10;14;9404;14104;
10;15;11755;13392;
10;16;23510;27699;
10;17;47020;61619;
10;18;94040;138929;
10;19;117550;162330;
10;20;235100;239024;
10;21;1175;1340;
10;22;2351;2774;
10;23;4702;4808;
10;24;9404;9629;
10;25;11755;14387;
10;26;23510;30746;
10;27;47020;59329;
10;28;94040;110972;
10;29;117550;132732;
10;30;235100;236225;
11;11;1061;1079;
11;12;2123;3110;
11;13;4246;5399;
11;14;8492;9496;
11;15;10615;14525;
11;16;21230;26709;
11;17;42460;48750;
11;18;84920;107125;
11;19;106150;112469;
11;20;212300;238792;
11;21;1061;1320;
11;22;2123;2656;
11;23;4246;4551;
11;24;8492;9524;
11;25;10615;11774;
11;26;21230;29815;
11;27;42460;49329;
11;28;84920;106717;
11;29;106150;157201;
11;30;212300;292092;
12;11;1266;1593;
12;12;2533;2932;
12;13;5066;6585;
12;14;10132;12852;
12;15;12665;16797;
12;16;25330;27026;
12;17;50660;68082;
12;18;101320;146273;
12;19;126650;156177;
12;20;253300;275630;
12;21;1266;1298;
12;22;2533;2733;
12;23;5066;6652;
12;24;10132;13120;
12;25;12665;15887;
12;26;25330;32337;
12;27;50660;52665;
12;28;101320;106721;
12;29;126650;182356;
12;30;253300;355330;
13;11;588;764;
13;12;1177;1312;
13;13;2354;3435;
13;14;4708;4811;
13;15;5885;8017;
13;16;11770;17336;
13;17;23540;28888;
13;18;47080;63270;
13;19;58850;82244;
13;20;117700;157269;
13;21;588;606;
13;22;1177;1321;
13;23;2354;2985;
13;24;4708;4943;
13;25;5885;7621;
13;26;11770;16208;
13;27;23540;29117;
13;28;47080;68857;
13;29;58850;76435;
13;30;117700;164643;
14;11;1413;1611;
14;12;2827;3157;
14;13;5654;7669;
14;14;11308;16066;
14;15;14135;16721;
14;16;28270;35881;
14;17;56540;77649;
14;18;113080;168347;
14;19;141350;143389;
14;20;282700;414209;
14;21;1413;1512;
14;22;2827;4169;
14;23;5654;7172;
14;24;11308;12718;
14;25;14135;19860;
14;26;28270;32262;
14;27;56540;81271;
14;28;113080;116087;
14;29;141350;210015;
14;30;282700;308247;
15;11;687;1029;
15;12;1375;1922;
15;13;2750;2954;
15;14;5500;6249;
15;15;6875;6935;
15;16;13750;20225;
15;17;27500;33863;
15;18;55000;59564;
15;19;68750;95790;
15;20;137500;177079;
15;21;687;728;
15;22;1375;1403;
15;23;2750;3100;
15;24;5500;6507;
15;25;6875;8995;
15;26;13750;17975;
15;27;27500;34447;
15;28;55000;74975;
15;29;68750;101563;
15;30;137500;171250;
16;11;517;648;
16;12;1034;1292;
16;13;2068;2215;
16;14;4136;5221;
16;15;5170;5817;
16;16;10340;10369;
16;17;20680;27776;
16;18;41360;52383;
16;19;51700;52626;
16;20;103400;147652;
16;21;517;563;
16;22;1034;1192;
16;23;2068;3071;
16;24;4136;5849;
16;25;5170;6527;
16;26;10340;13442;
16;27;20680;24178;
16;28;41360;41834;
16;29;51700;76516;
16;30;103400;139002;
17;11;310;363;
17;12;620;801;
17;13;1240;1434;
17;14;2480;3321;
17;15;3100;4540;
17;16;6200;7100;
17;17;12400;17607;
17;18;24800;35987;
17;19;31000;32301;
17;20;62000;90987;
17;21;310;337;
17;22;620;762;
17;23;1240;1248;
17;24;2480;3404;
17;25;3100;3268;
17;26;6200;7565;
17;27;12400;13992;
17;28;24800;28712;
17;29;31000;38075;
17;30;62000;65091;
18;11;941;1317;
18;12;1882;2096;
18;13;3764;3789;
18;14;7528;10403;
18;15;9410;11506;
18;16;18820;20623;
18;17;37640;42670;
18;18;75280;100288;
18;19;94100;129769;
18;20;188200;245627;
18;21;941;1030;
18;22;1882;2213;
18;23;3764;4387;
18;24;7528;10410;
18;25;9410;11686;
18;26;18820;19212;
18;27;37640;47095;
18;28;75280;101576;
18;29;94100;138566;
18;30;188200;235171;
19;11;729;764;
19;12;1458;1711;
19;13;2916;3909;
19;14;5832;7090;
19;15;7290;9462;
19;16;14580;18210;
19;17;29160;40776;
19;18;58320;79615;
19;19;72900;102975;
19;20;145800;210285;
19;21;729;1060;
19;22;1458;1535;
19;23;2916;3572;
19;24;5832;8341;
19;25;7290;10451;
19;26;14580;18611;
19;27;29160;30208;
19;28;58320;80762;
19;29;72900;81231;
19;30;145800;178225;
20;11;439;657;
20;12;879;924;
20;13;1758;1895;
20;14;3516;4647;
20;15;4395;5365;
20;16;8790;9994;
20;17;17580;22219;
20;18;35160;43138;
20;19;43950;58744;
20;20;87900;121204;
20;21;439;482;
20;22;879;1209;
20;23;1758;2061;
20;24;3516;5260;
20;25;4395;5121;
20;26;8790;10220;
20;27;17580;22011;
20;28;35160;38384;
20;29;43950;52075;
20;30;87900;115141;
21;11;279;410;
21;12;558;822;
21;13;1116;1507;
21;14;2232;2919;
21;15;2790;3122;
21;16;5580;6414;
21;17;11160;14224;
21;18;22320;26448;
21;19;27900;40189;
21;20;55800;59157;
21;21;279;370;
21;22;558;562;
21;23;1116;1204;
21;24;2232;3325;
21;25;2790;3241;
21;26;5580;6588;
21;27;11160;11479;
21;28;22320;24069;
21;29;27900;33346;
21;30;55800;74283;
22;11;1324;1972;
22;12;2648;2673;
22;13;5296;6175;
22;14;10592;15090;
22;15;13240;16693;
22;16;26480;28277;
22;17;52960;70881;
22;18;105920;128273;
22;19;132400;187536;
22;20;264800;343024;
22;21;1324;1646;
22;22;2648;3548;
22;23;5296;7151;
22;24;10592;13554;
22;25;13240;15173;
22;26;26480;38060;
22;27;52960;61399;
22;28;105920;148941;
22;29;132400;138563;
22;30;264800;311751;
23;11;573;703;
23;12;1146;1399;
23;13;2292;2804;
23;14;4584;5881;
23;15;5730;6989;
23;16;11460;15957;
23;17;22920;25670;
23;18;45840;52419;
23;19;57300;75980;
23;20;114600;120702;
23;21;573;839;
23;22;1146;1248;
23;23;2292;3066;
23;24;4584;4684;
23;25;5730;8420;
23;26;11460;12562;
23;27;22920;27213;
23;28;45840;64029;
23;29;57300;82060;
23;30;114600;161403;
24;11;332;389;
24;12;665;789;
24;13;1330;1992;
24;14;2660;3367;
24;15;3325;4641;
24;16;6650;8758;
24;17;13300;19495;
24;18;26600;27050;
24;19;33250;45407;
24;20;66500;81235;
24;21;332;392;
24;22;665;882;
24;23;1330;1373;
24;24;2660;3033;
24;25;3325;4310;
24;26;6650;6814;
24;27;13300;18710;
24;28;26600;35157;
24;29;33250;46031;
24;30;66500;81043;
25;11;952;1243;
25;12;1905;2473;
25;13;3810;5004;
25;14;7620;9368;
25;15;9525;11181;
25;16;19050;19481;
25;17;38100;41116;
25;18;76200;109140;
25;19;95250;112264;
25;20;190500;219595;
25;21;952;1142;
25;22;1905;2535;
25;23;3810;4991;
25;24;7620;10210;
25;25;9525;11298;
25;26;19050;20437;
25;27;38100;46610;
25;28;76200;110219;
25;29;95250;129642;
25;30;190500;224785;
26;11;504;692;
26;12;1008;1346;
26;13;2016;2108;
26;14;4032;5321;
26;15;5040;7459;
26;16;10080;10324;
26;17;20160;22058;
26;18;40320;57812;
26;19;50400;62979;
26;20;100800;123306;
26;21;504;538;
26;22;1008;1056;
26;23;2016;2713;
26;24;4032;4808;
26;25;5040;6153;
26;26;10080;12258;
26;27;20160;29790;
26;28;40320;58063;
26;29;50400;51788;
26;30;100800;133241;
27;11;910;998;
27;12;1820;2486;
27;13;3640;4161;
27;14;7280;7409;
27;15;9100;12061;
27;16;18200;27276;
27;17;36400;50543;
27;18;72800;87127;
27;19;91000;105739;
27;20;182000;191557;
27;21;910;1206;
27;22;1820;1887;
27;23;3640;3754;
27;24;7280;7964;
27;25;9100;12250;
27;26;18200;21452;
27;27;36400;51601;
27;28;72800;95319;
27;29;91000;106790;
27;30;182000;251824;
28;11;906;1106;
28;12;1813;2602;
28;13;3626;4897;
28;14;7252;10134;
28;15;9065;11937;
28;16;18130;26611;
28;17;36260;52165;
28;18;72520;107651;
28;19;90650;129568;
28;20;181300;182264;
28;21;906;927;
28;22;1813;2183;
28;23;3626;4213;
28;24;7252;9784;
28;25;9065;10226;
28;26;18130;23375;
28;27;36260;42391;
28;28;72520;84682;
28;29;90650;104814;
28;30;181300;188287;
29;11;1448;1882;
29;12;2896;2905;
29;13;5792;6908;
29;14;11584;16104;
29;15;14480;18605;
29;16;28960;30056;
29;17;57920;64483;
29;18;115840;136763;
29;19;144800;192279;
29;20;289600;412494;
29;21;1448;2078;
29;22;2896;3060;
29;23;5792;6115;
29;24;11584;11695;
29;25;14480;14570;
29;26;28960;37579;
29;27;57920;68251;
29;28;115840;115975;
29;29;144800;209824;
29;30;289600;364861;
30;11;329;477;
30;12;659;738;
30;13;1318;1574;
30;14;2636;2725;
30;15;3295;3560;
30;16;6590;6843;
30;17;13180;16425;
30;18;26360;26887;
30;19;32950;44755;
30;20;65900;69623;
30;21;329;337;
30;22;659;842;
30;23;1318;1559;
30;24;2636;3086;
30;25;3295;4284;
30;26;6590;7876;
30;27;13180;13647;
30;28;26360;34568;
30;29;32950;33766;
30;30;65900;68002;
31;11;1467;1987;
31;12;2934;3067;
31;13;5868;8154;
31;14;11736;16567;
31;15;14670;20045;
31;16;29340;32231;
31;17;58680;75343;
31;18;117360;127087;
31;19;146700;179320;
31;20;293400;397086;
31;21;1467;1836;
31;22;2934;3777;
31;23;5868;7773;
31;24;11736;11823;
31;25;14670;15954;
31;26;29340;31810;
31;27;58680;61610;
31;28;117360;138093;
31;29;146700;163495;
31;30;293400;383205;
32;11;662;711;
32;12;1325;1833;
32;13;2650;3532;
32;14;5300;5726;
32;15;6625;8227;
32;16;13250;16793;
32;17;26500;30181;
32;18;53000;64183;
32;19;66250;91849;
32;20;132500;155177;
32;21;662;929;
32;22;1325;1498;
32;23;2650;3102;
32;24;5300;7831;
32;25;6625;9769;
32;26;13250;17667;
32;27;26500;29974;
32;28;53000;71112;
32;29;66250;82952;
32;30;132500;145595;
33;11;980;1113;
33;12;1960;2032;
33;13;3920;5660;
33;14;7840;10285;
33;15;9800;11251;
33;16;19600;24618;
33;17;39200;43203;
33;18;78400;112424;
33;19;98000;103991;
33;20;196000;288688;
33;21;980;1171;
33;22;1960;2403;
33;23;3920;5380;
33;24;7840;11339;
33;25;9800;10934;
33;26;19600;23696;
33;27;39200;42530;
33;28;78400;85181;
33;29;98000;131621;
33;30;196000;235690;
34;11;854;861;
34;12;1709;1861;
34;13;3418;4231;
34;14;6836;8292;
34;15;8545;8618;
34;16;17090;19387;
34;17;34180;41993;
34;18;68360;74425;
34;19;85450;100948;
34;20;170900;197976;
34;21;854;956;
34;22;1709;2098;
34;23;3418;3514;
34;24;6836;7874;
34;25;8545;10404;
34;26;17090;20396;
34;27;34180;46376;
34;28;68360;81069;
34;29;85450;118471;
34;30;170900;216488;
35;11;286;398;
35;12;572;739;
35;13;1144;1438;
35;14;2288;2904;
35;15;2860;4270;
35;16;5720;8124;
35;17;11440;11572;
35;18;22880;29615;
35;19;28600;29389;
35;20;57200;62464;
35;21;286;384;
35;22;572;758;
35;23;1144;1452;
35;24;2288;2978;
35;25;2860;3607;
35;26;5720;8030;
35;27;11440;15528;
35;28;22880;27842;
35;29;28600;32204;
35;30;57200;70129;
36;11;339;440;
36;12;679;867;
36;13;1358;1895;
36;14;2716;3221;
36;15;3395;3672;
36;16;6790;8529;
36;17;13580;15624;
36;18;27160;28252;
36;19;33950;43781;
36;20;67900;96143;
36;21;339;368;
36;22;679;926;
36;23;1358;1408;
36;24;2716;2867;
36;25;3395;4897;
36;26;6790;6915;
36;27;13580;14846;
36;28;27160;32692;
36;29;33950;47129;
36;30;67900;98890;
37;11;311;397;
37;12;623;808;
37;13;1246;1277;
37;14;2492;3047;
37;15;3115;3436;
37;16;6230;8997;
37;17;12460;13263;
37;18;24920;27669;
37;19;31150;38247;
37;20;62300;70271;
37;21;311;381;
37;22;623;808;
37;23;1246;1719;
37;24;2492;2916;
37;25;3115;4653;
37;26;6230;9269;
37;27;12460;15742;
37;28;24920;34619;
37;29;31150;40884;
37;30;62300;87474;
38;11;1248;1351;
38;12;2496;2623;
38;13;4992;7139;
38;14;9984;11556;
38;15;12480;15804;
38;16;24960;31892;
38;17;49920;67047;
38;18;99840;124542;
38;19;124800;169721;
38;20;249600;349552;
38;21;1248;1359;
38;22;2496;2803;
38;23;4992;6303;
38;24;9984;12430;
38;25;12480;16817;
38;26;24960;30005;
38;27;49920;62113;
38;28;99840;102943;
38;29;124800;178783;
38;30;249600;318411;
39;11;520;772;
39;12;1041;1495;
39;13;2082;2452;
39;14;4164;4166;
39;15;5205;5221;
39;16;10410;14021;
39;17;20820;20880;
39;18;41640;59254;
39;19;52050;69985;
39;20;104100;128896;
39;21;520;746;
39;22;1041;1330;
39;23;2082;2657;
39;24;4164;4307;
39;25;5205;6894;
39;26;10410;11372;
39;27;20820;30294;
39;28;41640;50246;
39;29;52050;73957;
39;30;104100;140482;
40;11;1137;1365;
40;12;2274;3281;
40;13;4548;5182;
40;14;9096;10922;
40;15;11370;14927;
40;16;22740;29553;
40;17;45480;59718;
40;18;90960;100917;
40;19;113700;132134;
40;20;227400;299537;
40;21;1137;1705;
40;22;2274;2421;
40;23;4548;6294;
40;24;9096;10760;
40;25;11370;16993;
40;26;22740;23109;
40;27;45480;51140;
40;28;90960;110313;
40;29;113700;163149;
40;30;227400;246302;
41;11;904;1029;
41;12;1809;2494;
41;13;3618;4232;
41;14;7236;7326;
41;15;9045;11865;
41;16;18090;24239;
41;17;36180;46092;
41;18;72360;93448;
41;19;90450;97814;
41;20;180900;190215;
41;21;904;1297;
41;22;1809;2437;
41;23;3618;3921;
41;24;7236;8803;
41;25;9045;9250;
41;26;18090;26722;
41;27;36180;48198;
41;28;72360;89861;
41;29;90450;110131;
41;30;180900;235803;
42;11;596;875;
42;12;1192;1237;
42;13;2384;3283;
42;14;4768;5846;
42;15;5960;7099;
42;16;11920;14664;
42;17;23840;28445;
42;18;47680;61846;
42;19;59600;77517;
42;20;119200;132956;
42;21;596;696;
42;22;1192;1546;
42;23;2384;2833;
42;24;4768;5800;
42;25;5960;7506;
42;26;11920;13266;
42;27;23840;27093;
42;28;47680;50763;
42;29;59600;62537;
42;30;119200;140388;
43;11;345;372;
43;12;690;880;
43;13;1380;2021;
43;14;2760;2974;
43;15;3450;4469;
43;16;6900;10178;
43;17;13800;20362;
43;18;27600;28071;
43;19;34500;50123;
43;20;69000;74710;
43;21;345;390;
43;22;690;740;
43;23;1380;1608;
43;24;2760;2918;
43;25;3450;3563;
43;26;6900;7956;
43;27;13800;19075;
43;28;27600;36142;
43;29;34500;40237;
43;30;69000;74069;
44;11;829;1205;
44;12;1659;1781;
44;13;3318;4926;
44;14;6636;9525;
44;15;8295;9642;
44;16;16590;22112;
44;17;33180;35973;
44;18;66360;96596;
44;19;82950;97515;
44;20;165900;230140;
44;21;829;1211;
44;22;1659;1895;
44;23;3318;4239;
44;24;6636;9814;
44;25;8295;9527;
44;26;16590;21281;
44;27;33180;46380;
44;28;66360;87109;
44;29;82950;120970;
44;30;165900;220784;
45;11;522;583;
45;12;1045;1481;
45;13;2090;2398;
45;14;4180;5980;
45;15;5225;7436;
45;16;10450;12400;
45;17;20900;21311;
45;18;41800;50818;
45;19;52250;62821;
45;20;104500;114347;
45;21;522;628;
45;22;1045;1250;
45;23;2090;2966;
45;24;4180;4265;
45;25;5225;6165;
45;26;10450;15496;
45;27;20900;24740;
45;28;41800;48112;
45;29;52250;62215;
45;30;104500;118406;
46;11;805;999;
46;12;1611;2057;
46;13;3222;4359;
46;14;6444;6570;
46;15;8055;11023;
46;16;16110;20531;
46;17;32220;35368;
46;18;64440;72665;
46;19;80550;103215;
46;20;161100;185126;
46;21;805;899;
46;22;1611;1617;
46;23;3222;4314;
46;24;6444;6487;
46;25;8055;11708;
46;26;16110;18289;
46;27;32220;38209;
46;28;64440;89854;
46;29;80550;110128;
46;30;161100;217328;
47;11;942;1134;
47;12;1884;2185;
47;13;3768;5384;
47;14;7536;8638;
47;15;9420;10022;
47;16;18840;25728;
47;17;37680;41703;
47;18;75360;89429;
47;19;94200;100882;
47;20;188400;245054;
47;21;942;1126;
47;22;1884;2016;
47;23;3768;4096;
47;24;7536;7537;
47;25;9420;10689;
47;26;18840;28058;
47;27;37680;39942;
47;28;75360;84346;
47;29;94200;124695;
47;30;188400;242301;
48;11;656;947;
48;12;1312;1884;
48;13;2624;3895;
48;14;5248;5717;
48;15;6560;8172;
48;16;13120;16741;
48;17;26240;28907;
48;18;52480;77854;
48;19;65600;84244;
48;20;131200;174176;
48;21;656;796;
48;22;1312;1762;
48;23;2624;3763;
48;24;5248;6954;
48;25;6560;6982;
48;26;13120;13299;
48;27;26240;38611;
48;28;52480;53470;
48;29;65600;69788;
48;30;131200;134003;
49;11;1099;1405;
49;12;2199;3060;
49;13;4398;5319;
49;14;8796;9945;
49;15;10995;14338;
49;16;21990;32899;
49;17;43980;45171;
49;18;87960;110287;
49;19;109950;161307;
49;20;219900;257189;
49;21;1099;1390;
49;22;2199;2908;
49;23;4398;5272;
49;24;8796;8956;
49;25;10995;13163;
49;26;21990;31354;
49;27;43980;61382;
49;28;87960;91131;
49;29;109950;124689;
49;30;219900;226317;
50;11;579;677;
50;12;1158;1526;
50;13;2316;2448;
50;14;4632;4912;
50;15;5790;6957;
50;16;11580;16715;
50;17;23160;28624;
50;18;46320;54846;
50;19;57900;83618;
50;20;115800;148585;
50;21;579;655;
50;22;1158;1259;
50;23;2316;2942;
50;24;4632;4722;
50;25;5790;6418;
50;26;11580;15536;
50;27;23160;26768;
50;28;46320;64109;
50;29;57900;70636;
50;30;115800;168507;
51;11;424;462;
51;12;848;1183;
51;13;1696;1965;
51;14;3392;4910;
51;15;4240;5682;
51;16;8480;9097;
51;17;16960;20136;
51;18;33920;49576;
51;19;42400;56524;
51;20;84800;110971;
51;21;424;516;
51;22;848;1005;
51;23;1696;2218;
51;24;3392;4253;
51;25;4240;4453;
51;26;8480;10269;
51;27;16960;17929;
51;28;33920;42486;
51;29;42400;51315;
51;30;84800;99180;
52;11;1265;1551;
52;12;2531;3490;
52;13;5062;5937;
52;14;10124;14826;
52;15;12655;17899;
52;16;25310;36046;
52;17;50620;60180;
52;18;101240;102103;
52;19;126550;185840;
52;20;253100;331574;
52;21;1265;1391;
52;22;2531;2576;
52;23;5062;6745;
52;24;10124;13367;
52;25;12655;13641;
52;26;25310;28258;
52;27;50620;66443;
52;28;101240;132790;
52;29;126550;134820;
52;30;253100;279122;
53;11;274;314;
53;12;549;581;
53;13;1098;1518;
53;14;2196;2872;
53;15;2745;2822;
53;16;5490;6023;
53;17;10980;13994;
53;18;21960;28128;
53;19;27450;32133;
53;20;54900;70172;
53;21;274;359;
53;22;549;583;
53;23;1098;1187;
53;24;2196;3017;
53;25;2745;2803;
53;26;5490;7883;
53;27;10980;13655;
53;28;21960;23427;
53;29;27450;38989;
53;30;54900;61091;
54;11;342;374;
54;12;685;743;
54;13;1370;1908;
54;14;2740;2773;
54;15;3425;3735;
54;16;6850;8337;
54;17;13700;14103;
54;18;27400;36898;
54;19;34250;41730;
54;20;68500;69889;
54;21;342;344;
54;22;685;852;
54;23;1370;1595;
54;24;2740;2841;
54;25;3425;3603;
54;26;6850;7035;
54;27;13700;20091;
54;28;27400;35138;
54;29;34250;47274;
54;30;68500;92499;
55;11;465;519;
55;12;931;1126;
55;13;1862;2448;
55;14;3724;5547;
55;15;4655;5951;
55;16;9310;12865;
55;17;18620;23927;
55;18;37240;53427;
55;19;46550;64232;
55;20;93100;138136;
55;21;465;683;
55;22;931;1265;
55;23;1862;2646;
55;24;3724;4188;
55;25;4655;5557;
55;26;9310;11605;
55;27;18620;19642;
55;28;37240;44778;
55;29;46550;63422;
55;30;93100;99607;
56;11;571;699;
56;12;1143;1402;
56;13;2286;3270;
56;14;4572;6182;
56;15;5715;8488;
56;16;11430;16972;
56;17;22860;32076;
56;18;45720;55367;
56;19;57150;66727;
56;20;114300;127799;
56;21;571;714;
56;22;1143;1223;
56;23;2286;2682;
56;24;4572;4687;
56;25;5715;6468;
56;26;11430;13083;
56;27;22860;30203;
56;28;45720;56209;
56;29;57150;66196;
56;30;114300;126972;
57;11;863;1149;
57;12;1727;1988;
57;13;3454;5120;
57;14;6908;8186;
57;15;8635;12022;
57;16;17270;20996;
57;17;34540;35199;
57;18;69080;94407;
57;19;86350;96785;
57;20;172700;218695;
57;21;863;1189;
57;22;1727;2004;
57;23;3454;5175;
57;24;6908;10037;
57;25;8635;11068;
57;26;17270;17569;
57;27;34540;50992;
57;28;69080;101479;
57;29;86350;123920;
57;30;172700;207414;
58;11;614;655;
58;12;1229;1532;
58;13;2458;3478;
58;14;4916;6125;
58;15;6145;7327;
58;16;12290;14499;
58;17;24580;33149;
58;18;49160;72838;
58;19;61450;91970;
58;20;122900;141203;
58;21;614;629;
58;22;1229;1400;
58;23;2458;2758;
58;24;4916;6975;
58;25;6145;7897;
58;26;12290;15470;
58;27;24580;25311;
58;28;49160;66600;
58;29;61450;73731;
58;30;122900;172071;
59;11;1068;1257;
59;12;2137;2453;
59;13;4274;5345;
59;14;8548;10502;
59;15;10685;11344;
59;16;21370;28527;
59;17;42740;45632;
59;18;85480;113642;
59;19;106850;106892;
59;20;213700;318002;
59;21;1068;1511;
59;22;2137;2306;
59;23;4274;5610;
59;24;8548;8603;
59;25;10685;15892;
59;26;21370;26678;
59;27;42740;45027;
59;28;85480;117395;
59;29;106850;141378;
59;30;213700;299037;
60;11;1304;1552;
60;12;2608;3438;
60;13;5216;5279;
60;14;10432;11060;
60;15;13040;16457;
60;16;26080;32714;
60;17;52160;60553;
60;18;104320;121752;
60;19;130400;160897;
60;20;260800;376751;
60;21;1304;1900;
60;22;2608;3283;
60;23;5216;7303;
60;24;10432;12254;
60;25;13040;13240;
60;26;26080;32500;
60;27;52160;72769;
60;28;104320;135471;
60;29;130400;130895;
60;30;260800;306390;
61;11;1385;1652;
61;12;2771;3945;
61;13;5542;6064;
61;14;11084;15505;
61;15;13855;17276;
61;16;27710;30320;
61;17;55420;62493;
61;18;110840;114611;
61;19;138550;164843;
61;20;277100;395900;
61;21;1385;1816;
61;22;2771;2945;
61;23;5542;7202;
61;24;11084;16214;
61;25;13855;14287;
61;26;27710;35301;
61;27;55420;80835;
61;28;110840;135874;
61;29;138550;145596;
61;30;277100;330001;
62;11;434;632;
62;12;869;1000;
62;13;1738;2590;
62;14;3476;4525;
62;15;4345;5722;
62;16;8690;11893;
62;17;17380;18124;
62;18;34760;44765;
62;19;43450;53911;
62;20;86900;97732;
62;21;434;445;
62;22;869;1021;
62;23;1738;2006;
62;24;3476;4409;
62;25;4345;5758;
62;26;8690;9972;
62;27;17380;24301;
62;28;34760;40439;
62;29;43450;53795;
62;30;86900;93393;
63;11;1126;1630;
63;12;2253;2846;
63;13;4506;5386;
63;14;9012;13115;
63;15;11265;16785;
63;16;22530;25256;
63;17;45060;45209;
63;18;90120;118425;
63;19;112650;151486;
63;20;225300;325572;
63;21;1126;1364;
63;22;2253;2515;
63;23;4506;5322;
63;24;9012;13082;
63;25;11265;16555;
63;26;22530;33641;
63;27;45060;55282;
63;28;90120;112954;
63;29;112650;164929;
63;30;225300;229580;
64;11;1376;1874;
64;12;2752;3021;
64;13;5504;6242;
64;14;11008;12993;
64;15;13760;18199;
64;16;27520;33006;
64;17;55040;81727;
64;18;110080;127044;
64;19;137600;182524;
64;20;275200;290684;
64;21;1376;1501;
64;22;2752;4097;
64;23;5504;5982;
64;24;11008;12000;
64;25;13760;18883;
64;26;27520;41067;
64;27;55040;65570;
64;28;110080;124623;
64;29;137600;198367;
64;30;275200;278193;
65;11;658;690;
