COD_LUGAR_ALMAC;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD;NUMERO_LOTE;FECHA_EXPIRACION_LOTE;PROMOCION_LOTE;
2;27;11;128;2774494;TO_DATE('2014-03-22','YYYY-MM-DD');0.0;
2;27;12;46;1549190;TO_DATE('2013-12-29','YYYY-MM-DD');0.0;
2;27;20;75;9189340;TO_DATE('2013-09-01','YYYY-MM-DD');0.0;
2;27;22;183;5950593;TO_DATE('2014-04-16','YYYY-MM-DD');0.0;
2;27;24;60;8688175;TO_DATE('2014-01-15','YYYY-MM-DD');0.0;
2;27;27;11;5199272;TO_DATE('2014-02-19','YYYY-MM-DD');0.0;
2;27;30;168;2518103;TO_DATE('2013-11-30','YYYY-MM-DD');0.0;
2;28;15;165;9209620;TO_DATE('2014-03-25','YYYY-MM-DD');0.0;
2;28;18;132;2965490;TO_DATE('2014-02-17','YYYY-MM-DD');0.0;
2;32;14;67;1792993;TO_DATE('2013-06-06','YYYY-MM-DD');0.0;
2;32;26;70;9455456;TO_DATE('2014-01-11','YYYY-MM-DD');0.0;
2;32;28;45;4835332;TO_DATE('2013-06-21','YYYY-MM-DD');0.0;
2;35;15;192;7452591;TO_DATE('2014-03-31','YYYY-MM-DD');0.0;
2;35;16;200;8656612;TO_DATE('2013-06-19','YYYY-MM-DD');0.0;
2;35;22;114;461552;TO_DATE('2013-10-18','YYYY-MM-DD');0.0;
2;35;23;114;2891049;TO_DATE('2013-07-07','YYYY-MM-DD');0.0;
2;42;17;23;2407855;TO_DATE('2013-05-22','YYYY-MM-DD');0.0;
2;42;19;168;4258102;TO_DATE('2013-08-30','YYYY-MM-DD');0.0;
2;42;20;54;2679564;TO_DATE('2014-01-20','YYYY-MM-DD');0.0;
2;42;26;4;4998146;TO_DATE('2014-01-25','YYYY-MM-DD');0.0;
2;45;17;190;1490820;TO_DATE('2014-04-23','YYYY-MM-DD');0.0;
2;45;21;97;838071;TO_DATE('2013-12-30','YYYY-MM-DD');0.0;
2;45;23;200;7326007;TO_DATE('2013-12-27','YYYY-MM-DD');0.0;
2;45;24;148;7010652;TO_DATE('2013-05-29','YYYY-MM-DD');0.0;
2;45;25;155;3495087;TO_DATE('2013-06-23','YYYY-MM-DD');0.0;
2;45;27;178;2168609;TO_DATE('2014-04-08','YYYY-MM-DD');0.0;
7;7;14;4;6513567;TO_DATE('2013-10-15','YYYY-MM-DD');0.0;
7;7;19;177;1362470;TO_DATE('2013-12-14','YYYY-MM-DD');0.0;
7;7;24;24;8874204;TO_DATE('2014-02-25','YYYY-MM-DD');0.0;
7;7;25;200;4967203;TO_DATE('2013-09-23','YYYY-MM-DD');0.0;
7;7;27;123;2151084;TO_DATE('2013-11-05','YYYY-MM-DD');0.0;
7;8;14;164;4680341;TO_DATE('2013-06-02','YYYY-MM-DD');0.0;
7;8;26;25;409197;TO_DATE('2013-05-03','YYYY-MM-DD');0.0;
7;9;11;34;847927;TO_DATE('2013-08-14','YYYY-MM-DD');0.0;
7;9;14;129;7267844;TO_DATE('2013-05-04','YYYY-MM-DD');0.0;
7;9;16;17;1501617;TO_DATE('2013-09-11','YYYY-MM-DD');0.0;
7;9;20;150;5382549;TO_DATE('2013-12-15','YYYY-MM-DD');0.0;
7;10;12;138;9759499;TO_DATE('2013-08-22','YYYY-MM-DD');0.0;
7;10;15;181;5041853;TO_DATE('2013-10-13','YYYY-MM-DD');0.0;
7;10;20;73;8717268;TO_DATE('2013-08-12','YYYY-MM-DD');0.0;
7;10;26;27;1034938;TO_DATE('2013-12-07','YYYY-MM-DD');0.0;
7;10;28;199;7738203;TO_DATE('2014-01-30','YYYY-MM-DD');0.0;
7;11;11;97;8912976;TO_DATE('2014-01-12','YYYY-MM-DD');0.0;
7;13;20;195;8169861;TO_DATE('2013-11-12','YYYY-MM-DD');0.0;
7;13;21;122;8653551;TO_DATE('2013-06-26','YYYY-MM-DD');0.0;
7;13;28;51;3408914;TO_DATE('2013-05-02','YYYY-MM-DD');0.0;
7;14;16;33;4643079;TO_DATE('2014-02-13','YYYY-MM-DD');0.0;
7;14;18;172;180709;TO_DATE('2013-07-04','YYYY-MM-DD');0.0;
7;14;24;159;2440163;TO_DATE('2013-06-11','YYYY-MM-DD');0.0;
7;14;29;42;3444710;TO_DATE('2014-02-17','YYYY-MM-DD');0.0;
7;16;11;73;4253842;TO_DATE('2013-05-20','YYYY-MM-DD');0.0;
7;16;19;71;8299299;TO_DATE('2013-05-20','YYYY-MM-DD');0.0;
7;16;20;84;9417868;TO_DATE('2013-05-21','YYYY-MM-DD');0.0;
7;16;30;175;6021717;TO_DATE('2014-03-11','YYYY-MM-DD');0.0;
7;17;15;77;4024822;TO_DATE('2013-12-01','YYYY-MM-DD');0.0;
7;17;16;52;4465583;TO_DATE('2013-10-17','YYYY-MM-DD');0.0;
7;17;21;200;6395994;TO_DATE('2013-09-03','YYYY-MM-DD');0.0;
7;17;24;27;9211858;TO_DATE('2013-05-19','YYYY-MM-DD');0.0;
7;17;25;164;1967164;TO_DATE('2013-10-03','YYYY-MM-DD');0.0;
7;17;27;70;3657499;TO_DATE('2013-11-07','YYYY-MM-DD');0.0;
7;17;28;103;7243627;TO_DATE('2013-11-23','YYYY-MM-DD');0.0;
7;19;16;128;4953868;TO_DATE('2014-01-06','YYYY-MM-DD');0.0;
7;19;17;196;5469015;TO_DATE('2013-05-15','YYYY-MM-DD');0.0;
7;19;22;102;140326;TO_DATE('2013-06-18','YYYY-MM-DD');0.0;
7;19;27;47;122707;TO_DATE('2013-08-17','YYYY-MM-DD');0.0;
7;19;29;30;3491400;TO_DATE('2013-09-11','YYYY-MM-DD');0.0;
7;21;11;38;1425728;TO_DATE('2014-04-27','YYYY-MM-DD');0.0;
7;21;17;190;8265119;TO_DATE('2013-07-02','YYYY-MM-DD');0.0;
7;21;24;169;4960086;TO_DATE('2013-05-29','YYYY-MM-DD');0.0;
7;22;13;75;916808;TO_DATE('2013-09-15','YYYY-MM-DD');0.0;
7;22;17;130;5903254;TO_DATE('2013-05-07','YYYY-MM-DD');0.0;
7;22;19;24;5494009;TO_DATE('2014-02-03','YYYY-MM-DD');0.0;
7;22;22;29;5085104;TO_DATE('2014-03-11','YYYY-MM-DD');0.0;
7;22;30;125;3854926;TO_DATE('2014-02-16','YYYY-MM-DD');0.0;
7;24;18;107;8374814;TO_DATE('2013-11-18','YYYY-MM-DD');0.0;
7;24;23;172;2208432;TO_DATE('2014-04-27','YYYY-MM-DD');0.0;
7;28;11;41;8255380;TO_DATE('2014-04-01','YYYY-MM-DD');0.0;
7;28;21;100;1496483;TO_DATE('2013-11-09','YYYY-MM-DD');0.0;
7;28;27;79;5549370;TO_DATE('2013-09-07','YYYY-MM-DD');0.0;
7;29;12;152;336113;TO_DATE('2013-10-06','YYYY-MM-DD');0.0;
7;29;14;177;177047;TO_DATE('2013-08-16','YYYY-MM-DD');0.0;
7;29;15;58;7058953;TO_DATE('2013-07-26','YYYY-MM-DD');0.0;
7;29;21;21;1307311;TO_DATE('2014-03-18','YYYY-MM-DD');0.0;
7;29;27;129;1090444;TO_DATE('2013-07-09','YYYY-MM-DD');0.0;
7;36;13;156;2772228;TO_DATE('2014-03-23','YYYY-MM-DD');0.0;
7;36;15;20;7378928;TO_DATE('2014-01-01','YYYY-MM-DD');0.0;
7;36;18;55;4044467;TO_DATE('2014-01-09','YYYY-MM-DD');0.0;
7;36;24;173;6771695;TO_DATE('2014-03-05','YYYY-MM-DD');0.0;
7;36;29;9;9354296;TO_DATE('2013-05-10','YYYY-MM-DD');0.0;
7;38;12;195;2564194;TO_DATE('2013-09-23','YYYY-MM-DD');0.0;
7;38;14;193;8087422;TO_DATE('2013-10-25','YYYY-MM-DD');0.0;
7;38;15;92;5338544;TO_DATE('2013-06-25','YYYY-MM-DD');0.0;
7;38;23;78;306471;TO_DATE('2013-07-17','YYYY-MM-DD');0.0;
7;38;26;171;5428139;TO_DATE('2013-08-05','YYYY-MM-DD');0.0;
7;38;27;121;4379579;TO_DATE('2013-09-29','YYYY-MM-DD');0.0;
7;38;29;75;2184977;TO_DATE('2013-12-09','YYYY-MM-DD');0.0;
7;41;19;117;1480364;TO_DATE('2013-07-25','YYYY-MM-DD');0.0;
7;41;22;150;7178983;TO_DATE('2014-01-06','YYYY-MM-DD');0.0;
7;41;25;167;9478064;TO_DATE('2014-01-24','YYYY-MM-DD');0.0;
7;41;26;173;6517065;TO_DATE('2014-04-07','YYYY-MM-DD');0.0;
7;42;18;3;6852075;TO_DATE('2013-10-18','YYYY-MM-DD');0.0;
7;42;24;186;2412675;TO_DATE('2013-05-11','YYYY-MM-DD');0.0;
7;42;25;124;9981560;TO_DATE('2013-12-16','YYYY-MM-DD');0.0;
7;44;17;118;8035560;TO_DATE('2014-04-25','YYYY-MM-DD');0.0;
7;44;20;26;5745016;TO_DATE('2014-04-04','YYYY-MM-DD');0.0;
7;44;25;9;7926883;TO_DATE('2013-08-06','YYYY-MM-DD');0.0;
7;44;27;25;1096359;TO_DATE('2013-12-12','YYYY-MM-DD');0.0;
7;44;30;44;8988771;TO_DATE('2013-09-19','YYYY-MM-DD');0.0;
7;47;19;15;6579363;TO_DATE('2013-08-10','YYYY-MM-DD');0.0;
7;47;29;117;3649899;TO_DATE('2013-11-14','YYYY-MM-DD');0.0;
12;1;11;78;5857943;TO_DATE('2014-04-13','YYYY-MM-DD');0.0;
12;1;12;14;4186553;TO_DATE('2013-07-10','YYYY-MM-DD');0.0;
12;1;15;56;4367794;TO_DATE('2013-04-26','YYYY-MM-DD');0.0;
12;1;17;21;5173250;TO_DATE('2014-04-18','YYYY-MM-DD');0.0;
12;3;13;8;2731738;TO_DATE('2014-04-05','YYYY-MM-DD');0.0;
12;3;14;97;112636;TO_DATE('2013-07-30','YYYY-MM-DD');0.0;
12;3;19;149;7272317;TO_DATE('2013-10-26','YYYY-MM-DD');0.0;
12;3;29;76;5493238;TO_DATE('2014-03-11','YYYY-MM-DD');0.0;
12;3;30;103;6281719;TO_DATE('2014-03-02','YYYY-MM-DD');0.0;
12;4;11;15;8861166;TO_DATE('2014-03-21','YYYY-MM-DD');0.0;
12;4;19;37;2149257;TO_DATE('2014-03-23','YYYY-MM-DD');0.0;
12;5;12;119;3715300;TO_DATE('2013-05-14','YYYY-MM-DD');0.0;
12;5;20;25;629024;TO_DATE('2014-03-07','YYYY-MM-DD');0.0;
12;5;23;183;665307;TO_DATE('2014-04-01','YYYY-MM-DD');0.0;
12;5;27;24;1784707;TO_DATE('2013-09-19','YYYY-MM-DD');0.0;
12;6;12;26;3138757;TO_DATE('2014-01-27','YYYY-MM-DD');0.0;
12;6;25;124;4463000;TO_DATE('2014-02-22','YYYY-MM-DD');0.0;
12;8;11;11;9061292;TO_DATE('2014-03-04','YYYY-MM-DD');0.0;
12;8;14;179;5071046;TO_DATE('2014-03-30','YYYY-MM-DD');0.0;
12;8;20;175;1497761;TO_DATE('2014-03-10','YYYY-MM-DD');0.0;
12;8;22;197;3112590;TO_DATE('2014-04-21','YYYY-MM-DD');0.0;
12;8;29;101;4122250;TO_DATE('2013-04-26','YYYY-MM-DD');0.0;
12;9;14;118;7880578;TO_DATE('2014-02-16','YYYY-MM-DD');0.0;
12;9;21;163;3095356;TO_DATE('2013-05-10','YYYY-MM-DD');0.0;
12;9;27;23;2286107;TO_DATE('2013-04-29','YYYY-MM-DD');0.0;
12;9;28;94;7292720;TO_DATE('2013-07-19','YYYY-MM-DD');0.0;
12;9;30;153;5700632;TO_DATE('2013-11-26','YYYY-MM-DD');0.0;
12;10;11;180;174095;TO_DATE('2013-07-19','YYYY-MM-DD');0.0;
12;10;17;42;3550458;TO_DATE('2013-09-29','YYYY-MM-DD');0.0;
12;10;21;14;4193114;TO_DATE('2013-04-30','YYYY-MM-DD');0.0;
12;10;22;178;7697045;TO_DATE('2013-09-04','YYYY-MM-DD');0.0;
12;10;24;155;105755;TO_DATE('2013-11-10','YYYY-MM-DD');0.0;
12;10;27;8;4947592;TO_DATE('2013-11-17','YYYY-MM-DD');0.0;
12;10;28;98;5064074;TO_DATE('2013-12-28','YYYY-MM-DD');0.0;
12;10;30;99;2369231;TO_DATE('2013-12-20','YYYY-MM-DD');0.0;
12;11;17;90;6383430;TO_DATE('2013-09-04','YYYY-MM-DD');0.0;
12;11;18;70;6408160;TO_DATE('2013-09-04','YYYY-MM-DD');0.0;
12;11;21;110;9524377;TO_DATE('2014-03-08','YYYY-MM-DD');0.0;
12;11;25;38;6646863;TO_DATE('2014-03-11','YYYY-MM-DD');0.0;
12;11;27;177;4974255;TO_DATE('2013-11-14','YYYY-MM-DD');0.0;
12;11;29;70;2823087;TO_DATE('2013-05-30','YYYY-MM-DD');0.0;
12;14;17;197;6706330;TO_DATE('2013-11-28','YYYY-MM-DD');0.0;
12;14;23;160;7258690;TO_DATE('2013-12-11','YYYY-MM-DD');0.0;
12;14;27;193;3761757;TO_DATE('2014-04-06','YYYY-MM-DD');0.0;
12;14;28;20;3049641;TO_DATE('2014-03-12','YYYY-MM-DD');0.0;
12;15;13;89;647562;TO_DATE('2013-10-29','YYYY-MM-DD');0.0;
12;15;18;19;2809302;TO_DATE('2014-02-13','YYYY-MM-DD');0.0;
12;15;28;9;3511551;TO_DATE('2013-06-15','YYYY-MM-DD');0.0;
12;15;29;114;7468016;TO_DATE('2014-01-16','YYYY-MM-DD');0.0;
12;17;20;51;3940345;TO_DATE('2014-02-07','YYYY-MM-DD');0.0;
12;20;17;188;8510378;TO_DATE('2013-09-22','YYYY-MM-DD');0.0;
12;20;26;4;5831584;TO_DATE('2013-10-03','YYYY-MM-DD');0.0;
12;20;27;163;7838029;TO_DATE('2013-11-11','YYYY-MM-DD');0.0;
12;20;28;144;2374036;TO_DATE('2014-02-20','YYYY-MM-DD');0.0;
12;23;13;105;766838;TO_DATE('2013-07-14','YYYY-MM-DD');0.0;
12;23;18;108;8781453;TO_DATE('2014-02-22','YYYY-MM-DD');0.0;
12;23;19;73;6831450;TO_DATE('2013-05-15','YYYY-MM-DD');0.0;
12;23;23;197;6866337;TO_DATE('2013-05-25','YYYY-MM-DD');0.0;
12;23;24;132;3321775;TO_DATE('2013-09-03','YYYY-MM-DD');0.0;
12;23;30;71;838571;TO_DATE('2014-04-03','YYYY-MM-DD');0.0;
12;24;19;136;2053419;TO_DATE('2014-03-17','YYYY-MM-DD');0.0;
12;24;21;93;1512443;TO_DATE('2013-08-22','YYYY-MM-DD');0.0;
12;24;22;84;7671947;TO_DATE('2014-01-20','YYYY-MM-DD');0.0;
12;24;27;45;6983839;TO_DATE('2013-04-29','YYYY-MM-DD');0.0;
12;24;28;171;4588805;TO_DATE('2014-04-08','YYYY-MM-DD');0.0;
12;26;16;121;3620493;TO_DATE('2013-06-11','YYYY-MM-DD');0.0;
12;26;23;153;6368571;TO_DATE('2013-09-01','YYYY-MM-DD');0.0;
12;26;25;195;1416517;TO_DATE('2013-09-23','YYYY-MM-DD');0.0;
12;27;13;15;9446710;TO_DATE('2013-05-31','YYYY-MM-DD');0.0;
12;27;23;178;540053;TO_DATE('2014-04-27','YYYY-MM-DD');0.0;
12;27;24;139;5385910;TO_DATE('2013-07-26','YYYY-MM-DD');0.0;
12;30;15;120;6626665;TO_DATE('2013-08-09','YYYY-MM-DD');0.0;
12;30;16;95;5910828;TO_DATE('2013-08-24','YYYY-MM-DD');0.0;
12;30;19;157;2050763;TO_DATE('2013-12-29','YYYY-MM-DD');0.0;
12;30;28;149;5611962;TO_DATE('2013-12-03','YYYY-MM-DD');0.0;
12;32;12;94;4049827;TO_DATE('2013-09-02','YYYY-MM-DD');0.0;
12;32;18;129;6565221;TO_DATE('2013-12-08','YYYY-MM-DD');0.0;
12;32;22;88;6676714;TO_DATE('2013-07-27','YYYY-MM-DD');0.0;
12;32;30;5;6347127;TO_DATE('2014-01-09','YYYY-MM-DD');0.0;
12;37;15;134;748791;TO_DATE('2013-11-11','YYYY-MM-DD');0.0;
12;37;18;153;2555061;TO_DATE('2014-01-06','YYYY-MM-DD');0.0;
12;40;21;120;6929799;TO_DATE('2013-08-29','YYYY-MM-DD');0.0;
12;40;24;163;8498375;TO_DATE('2014-03-02','YYYY-MM-DD');0.0;
12;41;21;119;351701;TO_DATE('2013-10-07','YYYY-MM-DD');0.0;
12;41;22;192;4069837;TO_DATE('2014-03-25','YYYY-MM-DD');0.0;
12;41;25;173;9279316;TO_DATE('2014-02-11','YYYY-MM-DD');0.0;
12;41;27;175;623936;TO_DATE('2013-12-01','YYYY-MM-DD');0.0;
12;43;18;120;434745;TO_DATE('2013-05-24','YYYY-MM-DD');0.0;
12;43;25;135;3344610;TO_DATE('2013-06-11','YYYY-MM-DD');0.0;
12;43;27;98;7478034;TO_DATE('2013-12-24','YYYY-MM-DD');0.0;
12;43;29;8;3401751;TO_DATE('2013-10-21','YYYY-MM-DD');0.0;
12;47;15;138;8439050;TO_DATE('2014-04-18','YYYY-MM-DD');0.0;
12;47;24;42;8282825;TO_DATE('2013-07-28','YYYY-MM-DD');0.0;
13;1;20;18;5196455;TO_DATE('2013-10-24','YYYY-MM-DD');0.0;
13;1;26;9;4102952;TO_DATE('2014-03-23','YYYY-MM-DD');0.0;
13;1;28;184;9316084;TO_DATE('2013-09-12','YYYY-MM-DD');0.0;
13;12;12;115;821632;TO_DATE('2013-07-04','YYYY-MM-DD');0.0;
13;12;18;137;2917517;TO_DATE('2013-12-14','YYYY-MM-DD');0.0;
13;12;20;138;1704497;TO_DATE('2013-06-28','YYYY-MM-DD');0.0;
13;12;21;177;7865019;TO_DATE('2013-08-31','YYYY-MM-DD');0.0;
13;12;26;28;871995;TO_DATE('2013-11-01','YYYY-MM-DD');0.0;
13;15;17;2;490677;TO_DATE('2013-06-03','YYYY-MM-DD');0.0;
13;15;24;185;9130341;TO_DATE('2014-03-03','YYYY-MM-DD');0.0;
13;15;28;106;5722208;TO_DATE('2013-09-02','YYYY-MM-DD');0.0;
13;16;15;158;8039233;TO_DATE('2013-05-26','YYYY-MM-DD');0.0;
13;16;20;165;9699305;TO_DATE('2013-09-28','YYYY-MM-DD');0.0;
13;16;23;61;6478416;TO_DATE('2013-12-22','YYYY-MM-DD');0.0;
13;16;24;112;6305232;TO_DATE('2014-01-29','YYYY-MM-DD');0.0;
13;16;29;178;5463493;TO_DATE('2013-10-12','YYYY-MM-DD');0.0;
13;22;28;124;2141657;TO_DATE('2014-04-17','YYYY-MM-DD');0.0;
13;22;29;38;2121667;TO_DATE('2014-04-04','YYYY-MM-DD');0.0;
13;26;14;45;280651;TO_DATE('2014-04-18','YYYY-MM-DD');0.0;
13;26;17;52;4229315;TO_DATE('2014-01-28','YYYY-MM-DD');0.0;
13;26;21;114;6302443;TO_DATE('2013-05-06','YYYY-MM-DD');0.0;
13;26;23;10;4428865;TO_DATE('2014-02-12','YYYY-MM-DD');0.0;
13;26;27;131;5541883;TO_DATE('2013-07-19','YYYY-MM-DD');0.0;
13;27;16;119;7950997;TO_DATE('2013-06-30','YYYY-MM-DD');0.0;
13;27;17;5;9888927;TO_DATE('2013-12-27','YYYY-MM-DD');0.0;
13;28;22;156;5144503;TO_DATE('2013-06-13','YYYY-MM-DD');0.0;
13;28;25;11;822744;TO_DATE('2014-02-04','YYYY-MM-DD');0.0;
13;28;29;1;7006668;TO_DATE('2013-11-12','YYYY-MM-DD');0.0;
13;31;12;175;7588037;TO_DATE('2013-05-11','YYYY-MM-DD');0.0;
13;31;16;95;635233;TO_DATE('2013-06-16','YYYY-MM-DD');0.0;
13;31;17;111;2143525;TO_DATE('2013-06-23','YYYY-MM-DD');0.0;
13;31;20;24;3786724;TO_DATE('2013-05-08','YYYY-MM-DD');0.0;
13;31;22;122;9931411;TO_DATE('2014-03-24','YYYY-MM-DD');0.0;
13;31;24;21;8083431;TO_DATE('2013-08-03','YYYY-MM-DD');0.0;
13;31;26;31;1776888;TO_DATE('2014-02-05','YYYY-MM-DD');0.0;
13;31;30;189;1670208;TO_DATE('2013-11-05','YYYY-MM-DD');0.0;
13;32;18;18;5554834;TO_DATE('2013-05-30','YYYY-MM-DD');0.0;
13;32;19;123;8638945;TO_DATE('2014-01-03','YYYY-MM-DD');0.0;
13;32;20;1;5910558;TO_DATE('2014-04-16','YYYY-MM-DD');0.0;
13;32;25;17;3702392;TO_DATE('2013-07-17','YYYY-MM-DD');0.0;
13;32;28;150;594153;TO_DATE('2014-01-06','YYYY-MM-DD');0.0;
13;34;11;158;6505168;TO_DATE('2013-06-30','YYYY-MM-DD');0.0;
13;34;13;194;6032814;TO_DATE('2013-06-24','YYYY-MM-DD');0.0;
13;34;16;185;9887410;TO_DATE('2014-02-01','YYYY-MM-DD');0.0;
13;34;23;82;1471845;TO_DATE('2014-04-15','YYYY-MM-DD');0.0;
13;34;24;126;6051190;TO_DATE('2013-05-28','YYYY-MM-DD');0.0;
13;37;22;141;2393383;TO_DATE('2013-10-25','YYYY-MM-DD');0.0;
13;39;15;105;4751834;TO_DATE('2013-12-26','YYYY-MM-DD');0.0;
13;39;20;94;2146647;TO_DATE('2014-01-25','YYYY-MM-DD');0.0;
13;39;21;123;6101084;TO_DATE('2013-09-19','YYYY-MM-DD');0.0;
13;42;14;154;599067;TO_DATE('2014-04-28','YYYY-MM-DD');0.0;
13;42;19;190;839709;TO_DATE('2013-06-30','YYYY-MM-DD');0.0;
13;42;22;168;2095548;TO_DATE('2013-11-30','YYYY-MM-DD');0.0;
13;42;23;60;297164;TO_DATE('2014-02-24','YYYY-MM-DD');0.0;
13;42;29;116;8587857;TO_DATE('2014-03-27','YYYY-MM-DD');0.0;
13;43;15;8;8676554;TO_DATE('2013-09-05','YYYY-MM-DD');0.0;
13;43;17;17;6581048;TO_DATE('2013-09-06','YYYY-MM-DD');0.0;
13;43;20;59;5197931;TO_DATE('2014-04-15','YYYY-MM-DD');0.0;
13;43;21;64;7266781;TO_DATE('2013-10-07','YYYY-MM-DD');0.0;
13;43;22;138;9966294;TO_DATE('2014-04-15','YYYY-MM-DD');0.0;
13;43;28;132;2489829;TO_DATE('2014-03-09','YYYY-MM-DD');0.0;
13;44;14;141;1007266;TO_DATE('2014-04-24','YYYY-MM-DD');0.0;
13;44;25;50;2114844;TO_DATE('2014-03-05','YYYY-MM-DD');0.0;
13;49;11;142;2102898;TO_DATE('2014-02-28','YYYY-MM-DD');0.0;
13;49;16;184;8386137;TO_DATE('2013-12-24','YYYY-MM-DD');0.0;
13;49;18;106;3049473;TO_DATE('2013-08-01','YYYY-MM-DD');0.0;
13;49;22;189;1129813;TO_DATE('2014-02-19','YYYY-MM-DD');0.0;
13;49;23;182;1569547;TO_DATE('2014-02-23','YYYY-MM-DD');0.0;
15;3;16;60;6961931;TO_DATE('2014-03-30','YYYY-MM-DD');0.0;
15;3;21;43;6415075;TO_DATE('2013-12-25','YYYY-MM-DD');0.0;
15;6;11;115;1484289;TO_DATE('2014-04-22','YYYY-MM-DD');0.0;
15;6;14;186;7079889;TO_DATE('2013-10-04','YYYY-MM-DD');0.0;
15;6;21;8;8346769;TO_DATE('2013-12-28','YYYY-MM-DD');0.0;
15;6;27;183;8824666;TO_DATE('2013-07-30','YYYY-MM-DD');0.0;
15;6;29;174;4218202;TO_DATE('2014-01-17','YYYY-MM-DD');0.0;
15;11;12;135;8022246;TO_DATE('2013-09-19','YYYY-MM-DD');0.0;
15;11;16;97;4979619;TO_DATE('2013-08-03','YYYY-MM-DD');0.0;
15;11;19;159;1066380;TO_DATE('2014-03-11','YYYY-MM-DD');0.0;
15;12;12;7;8436074;TO_DATE('2013-11-11','YYYY-MM-DD');0.0;
15;12;17;22;6293977;TO_DATE('2013-08-16','YYYY-MM-DD');0.0;
15;12;18;184;350403;TO_DATE('2014-01-05','YYYY-MM-DD');0.0;
15;12;21;104;3821238;TO_DATE('2014-03-16','YYYY-MM-DD');0.0;
