COD_BODEGA;COD_PEDIDO;
1505;6621037;
1463;6621037;
1466;2176705;
853;2176705;
207;2176705;
3876;2176705;
2353;2176705;
2562;1818145;
1368;8102683;
3703;8102683;
462;8102683;
3776;1448759;
1642;1448759;
2786;1448759;
3001;6455633;
203;2908014;
816;2908014;
2111;4605653;
735;4605653;
2566;4605653;
2657;3199975;
1303;3199975;
12;3199975;
2930;5155869;
137;5155869;
829;5155869;
1681;5155869;
471;9756666;
640;9756666;
341;1000012;
1878;1000012;
2228;1000012;
3596;6335908;
1220;1892256;
3961;1892256;
1790;1892256;
1817;1486350;
662;6412352;
2148;6412352;
787;1040284;
377;1040284;
2094;1040284;
4409;1040284;
976;1040284;
3059;4719792;
2958;4719792;
1982;4719792;
4435;4719792;
1170;4122658;
260;4122658;
4352;3498003;
3664;3498003;
3510;3498003;
4372;9059614;
3580;9059614;
468;3438144;
2160;3142279;
1679;2382589;
1562;8111762;
2067;8111762;
1252;9802350;
2596;9802350;
2733;9802350;
3061;9802350;
3140;7174995;
2968;7174995;
2301;7174995;
4063;9542780;
2014;9542780;
1960;9542780;
3944;5275976;
1363;5275976;
4295;5275976;
3325;5275976;
4065;8976556;
3083;8976556;
3571;4649382;
1584;4740817;
3035;9366031;
815;5062422;
4332;5062422;
2721;857558;
2763;857558;
2434;857558;
1146;857558;
3022;9783759;
3239;9783759;
1030;6637158;
1375;9950362;
243;9950362;
1834;9950362;
1951;1010026;
2859;1010026;
1942;1010026;
730;1010026;
1817;356441;
1847;356441;
2449;3905465;
2679;3905465;
4208;3905465;
2926;3905465;
1128;3113089;
2433;3113089;
2772;3113089;
4373;3113089;
473;3113089;
3672;5303938;
68;8912839;
719;2115080;
2278;4211621;
578;4211621;
4256;4211621;
2795;4211621;
2704;5862106;
2638;5862106;
1423;5862106;
926;5862106;
2307;332215;
1800;332215;
2813;332215;
2894;7317435;
3156;7317435;
809;7317435;
286;7317435;
1582;7317435;
2751;5127129;
3579;7416216;
3881;7416216;
1376;4680105;
1248;2391202;
2051;2391202;
78;5594951;
694;5594951;
3125;2010568;
2939;8550322;
2095;8550322;
1796;8550322;
3811;1096100;
3751;1851770;
988;1851770;
1076;1560983;
4163;1560983;
186;1560983;
1533;4672250;
3222;4672250;
2495;4672250;
2170;4672250;
27;8738493;
2211;8738493;
1631;8738493;
1585;4701915;
3069;6150092;
2832;6150092;
2872;5525283;
195;5525283;
2631;5525283;
2409;6180736;
3582;2190480;
932;2190480;
2620;2782925;
1750;2782925;
3252;2782925;
1521;2782925;
2679;2782925;
355;1656893;
2673;1656893;
449;1656893;
3886;1656893;
2164;1679890;
1320;1679890;
2879;6249431;
3045;6249431;
4387;6249431;
3358;4415768;
2998;5677566;
1093;5677566;
1014;5677566;
1633;5677566;
1874;380638;
1097;380638;
356;380638;
1267;380638;
4269;380638;
505;6201682;
167;4415330;
3218;9421138;
3816;9421138;
3770;9421138;
3670;9421138;
4346;3214109;
3688;3430846;
3772;3430846;
3112;3430846;
4486;4763091;
2866;4763091;
861;4763091;
2226;4763091;
3722;4763091;
503;7858167;
3812;7858167;
687;7858167;
1916;7858167;
1707;7858167;
1578;5463588;
279;5463588;
3053;5463588;
1797;5463588;
1022;3850629;
3728;3850629;
2495;3850629;
3167;4374160;
3755;490053;
694;4197280;
2107;4197280;
212;4197280;
339;3215481;
4490;3215481;
946;3215481;
1065;3215481;
254;180612;
3595;989375;
3703;989375;
4332;6177917;
477;6177917;
964;6177917;
3679;7199609;
460;7199609;
2976;3881233;
2109;3881233;
2583;4902517;
1019;4902517;
1162;4902517;
1770;4902517;
1924;3374463;
3909;3374463;
3553;3580727;
1744;3580727;
870;3580727;
2311;7731252;
88;7731252;
787;7731252;
4167;7042764;
606;7042764;
714;7042764;
757;16980;
3110;16980;
3166;9238734;
2698;7227644;
786;7227644;
4252;7227644;
2098;7227644;
2535;3313065;
2398;3313065;
28;9723962;
2998;9723962;
4473;9723962;
2299;9723962;
1727;1090516;
2792;5680094;
678;5680094;
4038;5680094;
2242;5680094;
3321;5680094;
3627;3831533;
3091;7834194;
3595;7834194;
372;9107232;
2019;9107232;
1578;1724952;
1073;1724952;
3898;1724952;
1788;1724952;
2279;1724952;
73;1477631;
2408;1477631;
2410;1477631;
2705;1477631;
2898;7544471;
1436;7544471;
2787;5457063;
650;5457063;
1957;5457063;
2506;6012;
1252;6012;
137;6012;
3620;6092364;
3820;6092364;
1775;6092364;
2135;7250061;
1033;7250061;
1603;7250061;
269;491402;
1040;4576389;
2879;7872601;
25;7872601;
1175;1154357;
4289;1154357;
1419;1154357;
531;1241446;
54;3069306;
2906;8922160;
3265;8922160;
3815;8922160;
1991;8922160;
761;7734694;
1890;5394777;
953;3939801;
2478;3939801;
208;8602793;
1361;8602793;
708;4625186;
580;4625186;
933;2213191;
667;2213191;
2068;2213191;
1185;2213191;
1543;2213191;
1959;4379817;
562;4379817;
2674;5212201;
3045;5212201;
3175;5212201;
1096;3376006;
3401;3376006;
1337;3376006;
1950;3376006;
2873;3376006;
4142;5070403;
1344;9641362;
3083;9641362;
1229;9641362;
3757;9641362;
1242;9641362;
953;630892;
1350;630892;
3919;959097;
1265;959097;
1162;9832694;
1403;8606513;
376;8606513;
2990;2262209;
761;1398880;
1385;1398880;
3519;1398880;
4033;1398880;
2251;1398880;
1623;8272552;
1133;8272552;
2524;8272552;
3143;8272552;
258;3339235;
2424;2725122;
634;2725122;
882;996842;
2892;996842;
2472;2545892;
4480;2545892;
4044;2545892;
2890;115243;
1933;115243;
2467;115243;
1484;115243;
2807;115243;
2752;597412;
4427;5614488;
3817;8667908;
1603;8667908;
3121;4752036;
1163;4752036;
4225;4752036;
3682;4752036;
3685;5171265;
2211;5171265;
551;5171265;
1649;5171265;
1533;4883062;
4495;2731771;
1298;2731771;
675;7092267;
2897;8833939;
3649;7841532;
3444;7841532;
2796;7841532;
867;7227566;
1342;3969857;
992;3969857;
133;3969857;
1823;9088597;
279;9088597;
1999;9088597;
189;1226356;
3266;1226356;
3566;1226356;
2919;1226356;
134;1226356;
1183;6514062;
3027;6514062;
3826;6514062;
2437;5019742;
732;5019742;
2708;5019742;
3654;9554323;
723;742981;
3034;742981;
3057;742981;
78;742981;
1921;8153279;
3366;8153279;
1658;8153279;
1053;7270223;
1540;7270223;
3503;7270223;
3498;7270223;
1240;7270223;
1271;664604;
3431;664604;
2476;1611430;
91;8237419;
154;8237419;
2966;8237419;
761;7223533;
3052;7223533;
2251;5301995;
1293;5301995;
831;5301995;
128;5301995;
2962;8140657;
1717;8140657;
2794;8140657;
3350;8140657;
4355;4600555;
57;4600555;
2281;4600555;
4314;9159822;
655;9159822;
1189;9159822;
2444;4519;
3440;6043928;
422;6043928;
1888;6043928;
3453;6043928;
398;4908199;
3563;4908199;
109;4908199;
902;4908199;
820;2902557;
854;2902557;
475;2902557;
4339;3920809;
3745;3920809;
3095;3920809;
954;3920809;
3504;3832407;
1841;3832407;
3454;3832407;
1138;4612217;
3735;4612217;
4148;4612217;
1785;7925777;
1077;7925777;
474;7925777;
1648;7925777;
1637;7925777;
3362;5288205;
2532;5288205;
509;5288205;
1029;5288205;
1581;9999426;
1486;2519617;
4009;2519617;
973;2519617;
1594;7002974;
462;7002974;
4111;7002974;
885;7002974;
2404;7002974;
2475;7361030;
1193;7361030;
1052;177223;
1092;177223;
1023;9420501;
3101;9420501;
979;9420501;
3787;8768420;
2007;8768420;
20;8768420;
596;8768420;
1369;8768420;
3565;4408632;
669;4408632;
313;4408632;
1562;4408632;
4019;8536069;
4422;8536069;
1319;8536069;
2749;2844839;
4038;2844839;
2536;379759;
2831;379759;
2259;379759;
612;3919809;
2494;716999;
1053;716999;
2738;716999;
2078;8948205;
2533;4813274;
315;4813274;
2206;6640677;
2460;6640677;
66;6640677;
3880;6782862;
3618;6782862;
2173;2732469;
2227;2732469;
1350;2732469;
1264;8411370;
3829;8411370;
502;7195065;
367;7195065;
2748;7195065;
3083;1516592;
154;1516592;
3120;4753288;
577;4753288;
772;4753288;
249;1464376;
1796;1464376;
3508;1464376;
3824;1464376;
3273;6796071;
3546;6796071;
4329;6796071;
1930;6796071;
595;6796071;
2783;4194229;
343;4194229;
1594;7884481;
2484;7884481;
915;7884481;
2862;7884481;
4274;9901658;
3219;8835175;
159;4761171;
1130;4761171;
1799;4761171;
3686;4761171;
1783;9608793;
510;9608793;
3763;8079259;
1299;8079259;
643;8079259;
3015;8171392;
2608;8171392;
314;8171392;
3480;4932219;
1561;1268989;
458;1268989;
4179;1268989;
3249;1268989;
1128;1268989;
2026;3703754;
2293;177790;
4131;4455324;
1614;4455324;
4274;4455324;
2305;4455324;
2869;8660388;
814;8660388;
1146;3505410;
4336;3505410;
1763;3505410;
3977;3505410;
3734;6755702;
2745;6755702;
4013;6755702;
2963;3529454;
1848;5867981;
663;5867981;
111;5867981;
473;5867981;
725;3235579;
3045;6032444;
2771;6032444;
1446;6032444;
537;5563006;
4337;8668148;
3620;8668148;
187;9263353;
166;4404667;
365;3645318;
1043;7593070;
3855;7593070;
2786;6667332;
1177;6667332;
1818;9458114;
584;9458114;
3992;1957347;
3177;1957347;
2950;1957347;
1669;1957347;
3240;1957347;
81;8508921;
788;8508921;
810;6780950;
366;6780950;
3694;5954942;
1043;1661133;
1361;1661133;
2167;6002614;
3528;6002614;
807;6002614;
1414;6002614;
2659;8604180;
2857;8604180;
593;8604180;
4467;4464918;
2462;4464918;
2823;2304592;
416;2304592;
1121;8285024;
2835;8285024;
4475;8285024;
1911;8285024;
1677;6947839;
2447;2866818;
3433;2866818;
787;2866818;
3645;4503902;
4202;3265753;
2319;3265753;
3146;3265753;
3569;2023583;
1495;2023583;
3134;2023583;
1947;2023583;
589;6120232;
1821;6120232;
3941;6120232;
4239;6120232;
42;2239378;
2660;2239378;
726;2239378;
2474;2239378;
4476;2239378;
2004;2522289;
1792;2522289;
4210;9059271;
137;9059271;
4408;662999;
3955;9874506;
1334;9874506;
2366;9874506;
2461;9874506;
1831;9874506;
1079;5608952;
3834;3645729;
698;5786294;
1026;5410858;
2575;5410858;
800;5410858;
2974;5410858;
251;5410858;
3921;5688316;
3449;5688316;
1904;5688316;
4345;5688316;
2610;9845339;
4332;9457203;
4331;6157641;
4260;6157641;
2724;6157641;
302;6157641;
2600;6157641;
2331;7918036;
2929;6833712;
1889;6833712;
3045;1728183;
1483;1728183;
2489;1728183;
2791;1024061;
985;1024061;
889;1024061;
3997;7203446;
4139;7203446;
1221;1588382;
886;1588382;
641;1588382;
165;289068;
1382;3423814;
1112;3423814;
1563;3423814;
1720;3423814;
1182;7363027;
3589;7363027;
2801;7363027;
2244;7170658;
1351;7170658;
818;7170658;
870;7170658;
2660;777883;
2488;777883;
4380;777883;
2129;4520029;
2878;4520029;
3512;4520029;
975;7276728;
26;7276728;
826;7276728;
423;7276728;
4085;4480439;
880;4480439;
197;4480439;
1281;5744904;
3255;5744904;
3234;7709880;
2467;3693007;
2948;3693007;
437;96109;
3157;96109;
3215;96109;
4214;96109;
691;6981501;
2898;6000121;
846;6000121;
3985;6000121;
1906;6000121;
656;6000121;
3654;1360025;
4440;511039;
3940;511039;
3579;511039;
3668;511039;
431;1630607;
4106;3082309;
1542;8505977;
783;8392121;
1134;8392121;
2769;8392121;
3289;8392121;
556;8124308;
2479;8124308;
3556;7885546;
2909;7885546;
2285;1766578;
3514;1766578;
21;1766578;
829;3176746;
3615;3176746;
2001;136821;
3351;8699730;
225;8699730;
4081;8699730;
2204;4344489;
2579;1316290;
2862;1316290;
3393;1316290;
1003;1316290;
4141;1316290;
662;3724116;
237;3097033;
1208;3097033;
668;3097033;
1963;694546;
2986;694546;
497;694546;
2147;1570569;
2464;1570569;
3790;7726829;
2923;7726829;
2543;7726829;
2832;3779501;
2920;3779501;
1629;4460299;
2507;4460299;
3995;4460299;
3624;2742840;
3565;2742840;
2616;2742840;
683;2742840;
1302;6372289;
4475;6372289;
4066;6372289;
3441;6372289;
1914;6372289;
1778;289150;
1523;289150;
2500;289150;
332;2242419;
305;2242419;
2918;2242419;
2525;1010471;
2521;1010471;
1039;8487880;
1803;6878717;
377;6878717;
1682;6878717;
544;3118761;
2457;3118761;
4042;3118761;
1891;3118761;
3417;7468067;
1726;7468067;
1423;7468067;
2938;7468067;
2731;7468067;
884;7635863;
598;7635863;
3868;7635863;
4285;8443929;
2242;8443929;
2512;8443929;
2214;5086116;
3839;5086116;
369;1754250;
1939;1754250;
4191;1754250;
3650;4901805;
1756;4901805;
2141;4901805;
1657;4901805;
542;1267746;
4147;1267746;
1041;1267746;
2352;1267746;
768;3178307;
3018;3178307;
3393;5921767;
1161;5921767;
2209;5921767;
1412;5921767;
1665;1184999;
2853;1184999;
3438;1184999;
3901;1184999;
1301;2481239;
3418;2481239;
1951;2107163;
216;2107163;
604;2107163;
2234;9792507;
3730;9792507;
4402;7673659;
3055;7673659;
2730;4352246;
4243;4352246;
2382;1682773;
948;1682773;
2634;1682773;
57;101398;
3221;101398;
2454;101398;
1971;5192354;
2967;5192354;
1433;5004912;
1174;5004912;
635;5004912;
1008;5004912;
2502;2310353;
4202;2310353;
783;2310353;
1052;2310353;
1323;8735631;
3043;8735631;
1270;8735631;
3252;6622601;
929;5176175;
1097;5176175;
1566;5176175;
160;7863045;
1563;7863045;
3008;7863045;
3803;7863045;
2750;514416;
2685;514416;
1419;9338183;
694;9338183;
937;7707506;
485;9258450;
4178;8738511;
653;8738511;
1377;8738511;
488;8738511;
673;8738511;
1867;8244468;
2272;8244468;
767;8244468;
178;8244468;
2934;8244468;
2740;8663269;
152;8663269;
3280;8663269;
3042;8273096;
4092;3055353;
3056;2919522;
2981;2919522;
679;7446274;
2053;5279521;
1352;5279521;
1486;5279521;
3755;6837688;
2002;6837688;
571;6837688;
2121;5817098;
2217;5817098;
3126;8502967;
2707;8502967;
1939;3064938;
4294;3064938;
3276;3064938;
2348;8225167;
2891;8225167;
3097;8225167;
774;8225167;
4215;4754066;
3816;4754066;
573;4754066;
926;5407602;
2363;5407602;
562;5407602;
2462;5407602;
1361;2222999;
631;2222999;
542;2222999;
3237;1314508;
3628;1314508;
3505;1314508;
764;1314508;
1205;1314508;
759;5794211;
3140;5794211;
431;5794211;
4492;4264549;
2571;4264549;
3015;4264549;
2579;4264549;
1974;4264549;
3162;3632243;
4340;3632243;
372;6889155;
4013;6889155;
3025;6889155;
1412;6889155;
924;7523870;
3184;7523870;
782;7523870;
155;2972521;
2946;2972521;
3046;2972521;
1037;2972521;
4278;2972521;
1861;7814810;
2371;4293991;
3274;4293991;
3156;4293991;
2868;4293991;
1046;5446806;
957;5446806;
916;5446806;
3758;5446806;
149;2380062;
64;2380062;
168;2380062;
2384;6992077;
260;2912606;
3942;2912606;
508;2912606;
3912;2912606;
1801;4313323;
1512;4390913;
1971;4390913;
2192;4390913;
2349;7467437;
2754;7467437;
1915;7467437;
2764;7467437;
2346;63938;
984;6369399;
2601;6369399;
2593;6369399;
3116;6369399;
3256;1516118;
1476;1516118;
2618;1516118;
1482;9744961;
2415;9744961;
690;9744961;
2415;5736560;
983;5736560;
2588;5736560;
3554;5736560;
261;5736560;
2598;9633787;
3704;9633787;
3108;9633787;
932;9633787;
3994;2650769;
4340;2650769;
2148;2650769;
21;2650769;
1921;2650769;
2968;6957106;
663;6957106;
2468;6957106;
1697;9934110;
1825;9934110;
2707;9934110;
2649;8832601;
1479;8832601;
2690;880526;
1685;880526;
3786;880526;
2014;3796508;
3475;3796508;
1923;3796508;
3098;4199393;
3430;4199393;
580;4199393;
2353;4199393;
660;4199393;
495;3547343;
2292;6266218;
2478;6266218;
1224;950557;
590;7871291;
4443;7871291;
2793;7871291;
3058;7871291;
1924;967662;
2828;967662;
3833;967662;
575;967662;
90;967662;
2862;3440099;
2039;3440099;
3705;9242520;
470;9242520;
539;9242520;
4163;9242520;
2678;9242520;
3193;3954764;
3452;3954764;
3693;3954764;
2622;3954764;
3291;3954764;
2188;1589671;
4024;1589671;
2593;1558363;
518;1558363;
2633;1558363;
3563;1558363;
2262;1558363;
621;6189038;
297;6189038;
2028;7249138;
4406;7249138;
1460;369662;
1150;369662;
3089;369662;
444;369662;
49;5072038;
705;5072038;
4101;5072038;
3160;4488349;
3069;4488349;
1084;4488349;
737;4488349;
3438;4488349;
291;7673552;
669;7673552;
4205;4405049;
1841;8006307;
3628;8006307;
1752;8006307;
2321;8006307;
4134;8006307;
117;9448007;
1163;9448007;
67;9448007;
2292;8257076;
704;8257076;
4297;4289803;
4456;8150457;
3064;8150457;
599;8150457;
4308;9360670;
3670;9360670;
3871;9360670;
2250;9360670;
1442;8162134;
1804;1400967;
831;1400967;
3659;1400967;
2245;5035058;
85;5830256;
3448;6771836;
1851;6114060;
999;6114060;
2411;6114060;
2882;6114060;
1084;6114060;
2752;5247940;
3206;5247940;
4201;5247940;
1199;5247940;
2063;3722964;
201;3722964;
2998;3722964;
3658;1194785;
1712;6860813;
4165;6860813;
4487;6860813;
4199;6028682;
3685;6028682;
4169;6028682;
2638;2567081;
1457;2567081;
2986;1939596;
4130;1939596;
3050;6940730;
1487;6940730;
4287;6940730;
4023;6940730;
384;9791744;
4053;9791744;
1683;9791744;
3098;9791744;
3116;9791744;
3682;6840544;
2150;6840544;
1933;6840544;
1534;6840544;
697;6840544;
2522;1676443;
162;1676443;
4252;1676443;
3578;2409906;
2950;2409906;
2762;9868190;
2794;9868190;
3665;9868190;
2163;9868190;
3892;8079703;
491;1325473;
4217;1137972;
677;1137972;
4286;7820226;
2366;7820226;
909;7820226;
2574;7820226;
2774;7614952;
106;7614952;
2307;7614952;
1089;8766169;
1990;8766169;
2070;8766169;
4103;8766169;
2849;2577601;
2196;2577601;
4146;2577601;
2542;3179596;
3053;3179596;
4136;3179596;
1665;3179596;
4391;3179596;
2999;6412645;
1682;6412645;
2033;8060154;
933;8060154;
209;8060154;
4183;8060154;
3305;7082077;
992;7082077;
302;7082077;
3442;5794149;
3130;5794149;
285;5794149;
132;5794149;
2559;1519227;
1114;1519227;
3502;267980;
951;9123578;
3454;9123578;
854;9123578;
1370;9123578;
2877;9123578;
1312;9502226;
1717;9502226;
1576;9502226;
1863;9502226;
3650;9502226;
2995;7139709;
3262;7139709;
238;7139709;
4198;7139709;
2157;1598836;
3862;6791120;
1298;6791120;
3064;6791120;
4030;6276073;
29;6276073;
4044;6276073;
4293;6276073;
777;6276073;
4437;7301769;
768;7301769;
4327;7301769;
4167;7301769;
2514;3463410;
3510;3463410;
360;3463410;
2510;3463410;
453;4150499;
4210;4150499;
905;888473;
3820;487947;
2283;487947;
4287;487947;
543;157770;
1319;157770;
931;157770;
1729;157770;
1397;157770;
1479;5358255;
3204;5358255;
4225;7876707;
3279;7876707;
4177;7876707;
4464;1095680;
1051;1095680;
2593;1879566;
3583;1879566;
2349;1879566;
1692;1879566;
2310;1879566;
1789;778438;
2569;7231702;
3407;7231702;
4031;7231702;
3176;7231702;
1471;6635786;
1678;6635786;
2898;6635786;
1802;6635786;
2570;6635786;
3011;8167801;
3335;8167801;
2987;8142003;
3032;8142003;
1711;8142003;
2405;8142003;
2861;8142003;
2122;219881;
1197;219881;
877;219881;
1981;219881;
4147;3319988;
831;6234956;
180;6234956;
2276;6234956;
2600;9049857;
1982;9049857;
2356;9049857;
387;9049857;
3299;4816753;
3124;4816753;
1773;4816753;
2570;858238;
3920;858238;
579;858238;
1825;614670;
3057;614670;
3734;1940563;
1474;2812490;
2577;6259023;
2962;2755929;
1409;7700304;
1144;7700304;
3548;7700304;
181;7700304;
3039;5964453;
1121;5964453;
3744;5964453;
2873;9185215;
786;3019374;
1497;6850843;
2947;3108914;
2403;3108914;
465;3108914;
991;3108914;
1879;3108914;
4215;4763469;
1949;4763469;
1220;4763469;
4047;4763469;
3431;392893;
4487;392893;
3232;6374829;
1257;6374829;
2624;6374829;
2535;3010353;
304;3010353;
3371;3010353;
1990;3010353;
2667;3010353;
1811;9757518;
659;7528564;
46;7528564;
893;7528564;
4221;7528564;
3992;7767130;
669;7767130;
2151;7767130;
518;7767130;
134;9612698;
4051;2338101;
211;2338101;
3996;9760656;
1643;9760656;
1407;8365282;
264;453667;
311;897054;
4299;897054;
1462;897054;
2999;372117;
2229;372117;
250;9856508;
3135;9856508;
2765;7106818;
1743;7106818;
4119;7106818;
1605;7106818;
3384;7106818;
3084;6378149;
4401;6378149;
1513;6378149;
3308;6378149;
1942;6378149;
2062;2160393;
2765;2160393;
1070;2160393;
3737;4429543;
1061;4429543;
3038;4429543;
3613;4429543;
4390;6645039;
1677;6645039;
349;6645039;
4301;6645039;
169;8592713;
1076;3184666;
244;3184666;
2033;8717222;
3581;8717222;
3287;5885713;
320;5885713;
1178;5885713;
3880;5885713;
2503;9934563;
1760;9934563;
491;9934563;
3139;9934563;
1477;9934563;
185;1130105;
1886;1130105;
69;1130105;
22;1130105;
1084;5694830;
3650;5694830;
4387;5694830;
839;5694830;
4116;5111794;
2500;5111794;
2700;5111794;
2244;2963000;
311;2963000;
3256;7849148;
1124;7849148;
106;7849148;
1991;7849148;
4289;7020829;
1685;7020829;
2239;7020829;
584;4886920;
2731;4886920;
3453;4886920;
4200;4886920;
2978;4886920;
2222;4402709;
1214;4402709;
4155;6540295;
1493;6540295;
3528;2669229;
3466;2669229;
2166;2669229;
3519;2669229;
2716;3469225;
2826;4966557;
3509;4966557;
519;4966557;
1550;4966557;
3157;8379355;
1945;8379355;
449;8379355;
3901;3246434;
2161;3246434;
2165;3246434;
1148;3246434;
1615;3712193;
2573;330185;
3645;330185;
1242;330185;
1069;9368726;
2716;9368726;
3184;9368726;
362;17816;
3893;17816;
3626;17816;
2766;17816;
1541;6629781;
1993;6629781;
4077;6629781;
1322;6629781;
2558;7636012;
3920;708166;
1146;708166;
921;708166;
538;708166;
2237;708166;
2732;2078398;
3037;2078398;
2234;2078398;
174;7862527;
1188;7862527;
4028;7862527;
1982;2011950;
3968;2011950;
718;2011950;
2462;2011950;
2062;9720981;
333;2338689;
4467;2338689;
2169;2145893;
217;2145893;
3180;2145893;
459;1054103;
4033;1054103;
1493;5936659;
999;9100350;
4321;1478340;
2221;1478340;
3443;9440488;
4299;9440488;
2581;9440488;
4250;132039;
66;65662;
640;65662;
1864;6209418;
748;6209418;
1090;6209418;
916;3510062;
1406;3510062;
2741;3510062;
55;2534559;
3963;2534559;
1296;6791529;
1185;6791529;
3207;6791529;
516;6791529;
672;616575;
2526;616575;
1265;616575;
1142;616575;
4006;7826411;
1245;7140151;
3272;7140151;
2749;7140151;
32;7140151;
1709;1309949;
2751;2017458;
1586;2017458;
4289;2017458;
3160;2017458;
537;4100167;
3425;4100167;
2992;4100167;
3019;4100167;
1128;4100167;
1428;6169450;
3376;6169450;
2365;6169450;
2041;6169450;
3818;1753937;
1836;1753937;
637;1753937;
4093;1753937;
4348;7419925;
56;7419925;
437;2574031;
3190;2574031;
3354;1878058;
139;1878058;
1193;3679333;
1181;3679333;
2624;6507589;
1362;2885754;
3803;2885754;
2905;2885754;
2697;2885754;
4141;2885754;
2796;7172622;
179;7172622;
4478;7172622;
2293;525876;
4397;1645134;
2381;1645134;
1682;1645134;
620;1645134;
4196;1645134;
2799;7999380;
3169;7999380;
2017;7999380;
114;7999380;
3505;7999380;
65;1401481;
4246;1401481;
256;1401481;
1777;1401481;
1757;5685990;
391;2501940;
