NUMERO;COD_LUGAR_ORIGEN;COD_LUGAR_DESTINO;FECHA_MOVIMIENTO;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD
3735925;534;6101;TO_DATE('2013-05-01','YYYY-MM-DD');60;4;9;
4840940;534;6067;TO_DATE('2013-04-27','YYYY-MM-DD');59;10;6;
7016692;534;4790;TO_DATE('2013-04-27','YYYY-MM-DD');27;5;2;
4029767;534;6078;TO_DATE('2013-04-23','YYYY-MM-DD');60;4;9;
4363673;2361;5532;TO_DATE('2013-05-03','YYYY-MM-DD');60;4;7;
9331938;2361;4790;TO_DATE('2013-04-20','YYYY-MM-DD');60;4;7;
4473969;2361;5218;TO_DATE('2013-04-24','YYYY-MM-DD');59;10;6;
5877550;2361;5479;TO_DATE('2013-04-20','YYYY-MM-DD');27;5;3;
9212528;2361;4679;TO_DATE('2013-05-01','YYYY-MM-DD');27;5;2;
8436120;2378;4731;TO_DATE('2014-02-26','YYYY-MM-DD');3;19;4;
2233009;2378;4629;TO_DATE('2014-03-05','YYYY-MM-DD');3;19;4;
8580243;2378;6146;TO_DATE('2014-02-26','YYYY-MM-DD');19;16;7;
335098;2378;4595;TO_DATE('2014-03-09','YYYY-MM-DD');19;16;3;
2760561;1336;5305;TO_DATE('2014-01-30','YYYY-MM-DD');24;16;4;
1932941;1336;5405;TO_DATE('2014-01-17','YYYY-MM-DD');21;23;7;
7661327;1336;6447;TO_DATE('2014-01-29','YYYY-MM-DD');2;24;6;
1989843;1336;4668;TO_DATE('2014-01-21','YYYY-MM-DD');2;24;6;
6697367;1336;5515;TO_DATE('2014-01-24','YYYY-MM-DD');14;18;5;
3955638;1336;5929;TO_DATE('2014-01-26','YYYY-MM-DD');21;23;10;
7203113;1336;6491;TO_DATE('2014-01-24','YYYY-MM-DD');21;23;8;
5175741;1336;6285;TO_DATE('2014-01-27','YYYY-MM-DD');21;23;5;
3879263;1336;4533;TO_DATE('2014-01-20','YYYY-MM-DD');43;15;2;
9564075;140;4527;TO_DATE('2013-09-17','YYYY-MM-DD');50;22;5;
5740519;140;5309;TO_DATE('2013-09-16','YYYY-MM-DD');50;22;2;
2016321;760;4602;TO_DATE('2013-10-09','YYYY-MM-DD');42;6;4;
9253545;760;4715;TO_DATE('2013-10-05','YYYY-MM-DD');42;6;3;
8801947;2176;6096;TO_DATE('2014-03-01','YYYY-MM-DD');8;11;8;
5992986;341;5739;TO_DATE('2013-11-09','YYYY-MM-DD');7;4;7;
6508159;2538;5836;TO_DATE('2013-10-16','YYYY-MM-DD');15;1;5;
3298;2538;5194;TO_DATE('2013-10-14','YYYY-MM-DD');1;7;1;
7473938;2538;6400;TO_DATE('2013-10-21','YYYY-MM-DD');1;7;5;
7271240;2538;4960;TO_DATE('2013-10-22','YYYY-MM-DD');1;7;5;
9225841;2538;5472;TO_DATE('2013-10-22','YYYY-MM-DD');22;1;2;
6947682;2538;5868;TO_DATE('2013-10-10','YYYY-MM-DD');22;1;9;
6186946;2538;4883;TO_DATE('2013-10-20','YYYY-MM-DD');22;1;4;
1040983;3725;5975;TO_DATE('2013-10-09','YYYY-MM-DD');53;4;1;
8512817;3725;5731;TO_DATE('2013-10-09','YYYY-MM-DD');4;3;10;
4337142;3725;6305;TO_DATE('2013-10-11','YYYY-MM-DD');22;1;2;
5788402;3725;4888;TO_DATE('2013-10-20','YYYY-MM-DD');53;4;2;
9251892;3725;5276;TO_DATE('2013-10-09','YYYY-MM-DD');1;7;5;
4398391;3725;5537;TO_DATE('2013-10-09','YYYY-MM-DD');53;4;8;
2882332;3725;5957;TO_DATE('2013-10-11','YYYY-MM-DD');53;4;8;
6635527;3725;4600;TO_DATE('2013-10-21','YYYY-MM-DD');4;3;9;
3816178;1492;4790;TO_DATE('2013-10-18','YYYY-MM-DD');4;3;3;
2777776;1492;4715;TO_DATE('2013-10-17','YYYY-MM-DD');22;1;8;
2517493;1492;6200;TO_DATE('2013-10-12','YYYY-MM-DD');4;3;7;
4453647;1492;6260;TO_DATE('2013-10-15','YYYY-MM-DD');22;1;3;
1881547;1492;6065;TO_DATE('2013-10-20','YYYY-MM-DD');1;7;3;
103860;394;5072;TO_DATE('2013-08-10','YYYY-MM-DD');59;12;4;
4187789;1721;6081;TO_DATE('2013-07-02','YYYY-MM-DD');3;26;6;
885466;1721;4662;TO_DATE('2013-07-08','YYYY-MM-DD');18;18;4;
1778409;1721;6452;TO_DATE('2013-07-11','YYYY-MM-DD');18;18;2;
7417036;1721;6116;TO_DATE('2013-07-03','YYYY-MM-DD');11;24;6;
6182164;83;6490;TO_DATE('2013-11-18','YYYY-MM-DD');47;9;5;
4857481;83;6026;TO_DATE('2013-11-19','YYYY-MM-DD');19;9;4;
8891505;83;5545;TO_DATE('2013-11-26','YYYY-MM-DD');47;9;8;
2302449;83;6180;TO_DATE('2013-11-23','YYYY-MM-DD');6;4;1;
4652999;83;6123;TO_DATE('2013-11-20','YYYY-MM-DD');19;9;5;
4090965;83;4842;TO_DATE('2013-11-20','YYYY-MM-DD');28;6;10;
2885909;1094;4949;TO_DATE('2013-07-07','YYYY-MM-DD');25;23;4;
1016676;1587;5090;TO_DATE('2013-06-20','YYYY-MM-DD');71;5;10;
7049337;1587;4791;TO_DATE('2013-06-12','YYYY-MM-DD');69;8;7;
1578261;1587;5277;TO_DATE('2013-06-21','YYYY-MM-DD');71;5;3;
6802715;2553;4768;TO_DATE('2013-06-29','YYYY-MM-DD');30;3;2;
6105015;4451;6365;TO_DATE('2013-08-20','YYYY-MM-DD');24;3;3;
1365977;4451;5741;TO_DATE('2013-08-18','YYYY-MM-DD');3;4;5;
3830241;4451;4523;TO_DATE('2013-08-16','YYYY-MM-DD');15;3;4;
9503746;97;5724;TO_DATE('2014-03-13','YYYY-MM-DD');3;30;5;
5929135;3503;4627;TO_DATE('2013-05-15','YYYY-MM-DD');26;26;6;
7792092;3503;4831;TO_DATE('2013-05-08','YYYY-MM-DD');3;28;8;
3068898;3690;6390;TO_DATE('2013-05-11','YYYY-MM-DD');26;26;5;
5865324;3690;5235;TO_DATE('2013-05-13','YYYY-MM-DD');19;28;8;
8083244;3690;4508;TO_DATE('2013-05-08','YYYY-MM-DD');19;28;4;
6144132;4498;5406;TO_DATE('2013-05-08','YYYY-MM-DD');19;28;9;
5024048;2108;4590;TO_DATE('2014-04-24','YYYY-MM-DD');56;20;4;
2012310;2108;6238;TO_DATE('2014-04-16','YYYY-MM-DD');53;19;2;
74324;2108;4560;TO_DATE('2014-04-18','YYYY-MM-DD');53;19;4;
2127399;2108;4697;TO_DATE('2014-04-16','YYYY-MM-DD');64;28;3;
4936996;2108;6231;TO_DATE('2014-04-24','YYYY-MM-DD');64;28;6;
6177979;2108;4764;TO_DATE('2014-04-27','YYYY-MM-DD');64;28;1;
4181735;2108;5177;TO_DATE('2014-04-26','YYYY-MM-DD');53;19;10;
4620553;3253;5040;TO_DATE('2013-07-23','YYYY-MM-DD');9;14;8;
6237479;601;5264;TO_DATE('2013-04-27','YYYY-MM-DD');50;24;3;
2680362;601;4798;TO_DATE('2013-04-19','YYYY-MM-DD');50;24;10;
9954684;4091;4566;TO_DATE('2014-02-28','YYYY-MM-DD');30;17;3;
5831387;4091;6476;TO_DATE('2014-03-05','YYYY-MM-DD');67;15;6;
2114348;4091;5144;TO_DATE('2014-03-02','YYYY-MM-DD');28;11;2;
8666364;4091;5314;TO_DATE('2014-03-07','YYYY-MM-DD');30;17;6;
4781383;4091;5195;TO_DATE('2014-03-06','YYYY-MM-DD');30;17;4;
2587540;4091;6044;TO_DATE('2014-03-03','YYYY-MM-DD');72;21;8;
2033083;4091;5804;TO_DATE('2014-02-26','YYYY-MM-DD');67;15;1;
3353418;4091;4695;TO_DATE('2014-03-07','YYYY-MM-DD');67;15;2;
7979212;4091;5211;TO_DATE('2014-03-10','YYYY-MM-DD');67;15;4;
8928167;4091;4644;TO_DATE('2014-03-08','YYYY-MM-DD');67;15;8;
7540038;2089;6129;TO_DATE('2014-02-19','YYYY-MM-DD');58;3;6;
231103;2089;6411;TO_DATE('2014-03-04','YYYY-MM-DD');58;3;6;
4337077;203;5785;TO_DATE('2013-10-04','YYYY-MM-DD');71;7;4;
8403751;2863;5473;TO_DATE('2013-09-30','YYYY-MM-DD');71;7;9;
2375160;1492;6294;TO_DATE('2014-01-13','YYYY-MM-DD');5;21;3;
2900829;1492;5632;TO_DATE('2014-01-07','YYYY-MM-DD');64;16;4;
1802191;1492;4663;TO_DATE('2014-01-05','YYYY-MM-DD');5;21;3;
1644006;2344;5284;TO_DATE('2014-03-11','YYYY-MM-DD');68;21;1;
5812038;137;5265;TO_DATE('2014-03-04','YYYY-MM-DD');68;21;4;
901659;137;4794;TO_DATE('2014-03-11','YYYY-MM-DD');68;21;2;
751374;1538;5388;TO_DATE('2014-02-15','YYYY-MM-DD');63;29;9;
1124840;1538;6154;TO_DATE('2014-02-19','YYYY-MM-DD');63;29;1;
7871084;1399;5451;TO_DATE('2013-05-14','YYYY-MM-DD');27;27;1;
1752284;1399;5858;TO_DATE('2013-05-24','YYYY-MM-DD');27;27;5;
8755277;1399;5069;TO_DATE('2013-05-20','YYYY-MM-DD');27;27;5;
6050724;1399;4726;TO_DATE('2013-05-17','YYYY-MM-DD');26;18;3;
6104821;1399;4657;TO_DATE('2013-05-20','YYYY-MM-DD');32;19;1;
7885829;1399;4916;TO_DATE('2013-05-21','YYYY-MM-DD');27;27;5;
3628636;1268;4917;TO_DATE('2013-07-13','YYYY-MM-DD');29;17;8;
3466345;2067;6238;TO_DATE('2013-06-29','YYYY-MM-DD');53;12;4;
6890079;2067;5309;TO_DATE('2013-07-02','YYYY-MM-DD');54;22;4;
3914088;2067;5900;TO_DATE('2013-07-02','YYYY-MM-DD');65;14;10;
2771816;2067;5097;TO_DATE('2013-07-12','YYYY-MM-DD');54;22;1;
7808793;2067;5136;TO_DATE('2013-07-03','YYYY-MM-DD');64;14;3;
9134531;2596;5059;TO_DATE('2013-05-11','YYYY-MM-DD');71;4;8;
6546700;2596;6005;TO_DATE('2013-05-14','YYYY-MM-DD');71;4;8;
773112;1363;5438;TO_DATE('2014-03-02','YYYY-MM-DD');33;19;3;
3783737;1363;5378;TO_DATE('2014-03-01','YYYY-MM-DD');45;28;8;
1360226;1363;5033;TO_DATE('2014-02-23','YYYY-MM-DD');33;19;9;
227910;1363;5629;TO_DATE('2014-02-23','YYYY-MM-DD');45;28;2;
2204589;1363;5195;TO_DATE('2014-03-03','YYYY-MM-DD');45;28;9;
4019462;3083;5051;TO_DATE('2013-07-13','YYYY-MM-DD');60;12;6;
4891975;3423;5934;TO_DATE('2013-10-03','YYYY-MM-DD');45;21;10;
8586171;1146;5518;TO_DATE('2014-01-19','YYYY-MM-DD');67;3;6;
6384733;4234;4631;TO_DATE('2013-05-12','YYYY-MM-DD');54;26;7;
4221591;1152;6162;TO_DATE('2014-01-17','YYYY-MM-DD');59;12;10;
3436477;1152;5875;TO_DATE('2014-01-15','YYYY-MM-DD');59;12;5;
2325222;1152;5683;TO_DATE('2014-01-08','YYYY-MM-DD');61;18;7;
554110;1152;4648;TO_DATE('2014-01-17','YYYY-MM-DD');59;12;3;
5974098;1152;6147;TO_DATE('2014-01-21','YYYY-MM-DD');61;18;4;
6042382;1655;5918;TO_DATE('2013-05-24','YYYY-MM-DD');54;5;10;
8222619;4115;5391;TO_DATE('2013-05-18','YYYY-MM-DD');67;1;7;
6595915;4115;6249;TO_DATE('2013-05-18','YYYY-MM-DD');54;5;9;
1243968;4115;5292;TO_DATE('2013-05-18','YYYY-MM-DD');54;5;5;
9511893;1582;5565;TO_DATE('2013-11-19','YYYY-MM-DD');47;14;2;
7564006;1582;5955;TO_DATE('2013-11-22','YYYY-MM-DD');18;27;6;
5951638;1582;5815;TO_DATE('2013-11-14','YYYY-MM-DD');60;18;1;
34507;1582;5109;TO_DATE('2013-11-28','YYYY-MM-DD');18;27;3;
98483;3642;5897;TO_DATE('2014-04-09','YYYY-MM-DD');38;28;1;
2394426;3642;4798;TO_DATE('2014-04-05','YYYY-MM-DD');38;28;7;
3716196;3642;5945;TO_DATE('2014-04-16','YYYY-MM-DD');40;21;7;
5153462;3642;6083;TO_DATE('2014-04-10','YYYY-MM-DD');38;28;5;
2880038;3642;5649;TO_DATE('2014-04-12','YYYY-MM-DD');35;28;8;
2589852;3885;5885;TO_DATE('2013-06-12','YYYY-MM-DD');61;28;6;
5346432;694;5616;TO_DATE('2014-03-12','YYYY-MM-DD');47;8;10;
1853437;694;4598;TO_DATE('2014-03-19','YYYY-MM-DD');47;8;3;
692931;1713;5301;TO_DATE('2013-12-29','YYYY-MM-DD');23;25;10;
4684573;3072;5733;TO_DATE('2013-12-19','YYYY-MM-DD');56;14;3;
3531313;1238;6489;TO_DATE('2014-04-11','YYYY-MM-DD');24;18;7;
5408470;1238;4859;TO_DATE('2014-04-06','YYYY-MM-DD');24;18;1;
355466;1655;5182;TO_DATE('2013-12-17','YYYY-MM-DD');72;7;5;
3157960;1655;5303;TO_DATE('2013-12-26','YYYY-MM-DD');72;7;2;
1649790;1932;5935;TO_DATE('2013-12-03','YYYY-MM-DD');55;19;1;
8530067;1932;5594;TO_DATE('2013-12-14','YYYY-MM-DD');46;27;9;
1280654;1932;5263;TO_DATE('2013-12-05','YYYY-MM-DD');55;19;8;
5965857;1932;5698;TO_DATE('2013-12-11','YYYY-MM-DD');55;19;2;
1221553;3865;6251;TO_DATE('2014-04-01','YYYY-MM-DD');9;4;10;
9662676;3865;5784;TO_DATE('2014-04-05','YYYY-MM-DD');49;4;4;
2443231;3865;5005;TO_DATE('2014-04-03','YYYY-MM-DD');69;1;9;
3673269;3865;4605;TO_DATE('2014-03-30','YYYY-MM-DD');31;6;8;
9944650;3865;5852;TO_DATE('2014-04-02','YYYY-MM-DD');49;4;2;
1841793;3865;4600;TO_DATE('2014-03-31','YYYY-MM-DD');31;6;3;
5724444;1666;6384;TO_DATE('2014-03-30','YYYY-MM-DD');31;6;2;
9599859;1666;6343;TO_DATE('2014-04-05','YYYY-MM-DD');31;6;10;
704287;1666;6094;TO_DATE('2014-04-06','YYYY-MM-DD');31;6;1;
7981261;1666;6345;TO_DATE('2014-04-06','YYYY-MM-DD');49;4;9;
2341275;2134;6236;TO_DATE('2013-07-03','YYYY-MM-DD');26;21;10;
2139385;3865;5346;TO_DATE('2013-05-27','YYYY-MM-DD');38;13;9;
9874138;3865;5043;TO_DATE('2013-05-17','YYYY-MM-DD');39;14;3;
5914445;3865;6428;TO_DATE('2013-05-26','YYYY-MM-DD');39;14;10;
6202894;738;4591;TO_DATE('2013-05-23','YYYY-MM-DD');28;18;5;
7295056;738;4562;TO_DATE('2013-05-27','YYYY-MM-DD');66;11;3;
4558597;738;6041;TO_DATE('2013-05-25','YYYY-MM-DD');66;11;5;
1904581;738;5379;TO_DATE('2013-05-24','YYYY-MM-DD');38;13;6;
2784246;738;6241;TO_DATE('2013-05-28','YYYY-MM-DD');67;21;3;
6286207;738;5425;TO_DATE('2013-05-27','YYYY-MM-DD');67;21;6;
2309637;738;5595;TO_DATE('2013-05-30','YYYY-MM-DD');39;14;3;
5008944;738;4956;TO_DATE('2013-05-27','YYYY-MM-DD');39;14;5;
6785698;738;6115;TO_DATE('2013-05-21','YYYY-MM-DD');67;21;1;
7488933;738;5978;TO_DATE('2013-05-19','YYYY-MM-DD');38;13;9;
4914513;1633;5193;TO_DATE('2013-11-14','YYYY-MM-DD');60;24;7;
8470449;1633;5993;TO_DATE('2013-11-16','YYYY-MM-DD');56;29;2;
1679041;1633;6116;TO_DATE('2013-11-21','YYYY-MM-DD');62;22;3;
6422302;1633;5820;TO_DATE('2013-11-14','YYYY-MM-DD');56;29;3;
4634668;1633;6137;TO_DATE('2013-11-14','YYYY-MM-DD');56;29;10;
2144831;3816;5083;TO_DATE('2014-03-11','YYYY-MM-DD');56;8;7;
970702;3670;5153;TO_DATE('2014-03-15','YYYY-MM-DD');3;2;6;
9017484;3670;5276;TO_DATE('2014-03-10','YYYY-MM-DD');66;3;6;
4865172;3670;5546;TO_DATE('2014-03-14','YYYY-MM-DD');3;2;5;
5255647;3670;6003;TO_DATE('2014-03-15','YYYY-MM-DD');3;2;3;
3621557;3670;6249;TO_DATE('2014-03-11','YYYY-MM-DD');66;3;9;
5904193;861;5464;TO_DATE('2014-03-04','YYYY-MM-DD');67;1;3;
9579165;861;5905;TO_DATE('2014-03-06','YYYY-MM-DD');69;10;7;
4753339;861;6113;TO_DATE('2014-03-12','YYYY-MM-DD');67;1;5;
1139643;861;4536;TO_DATE('2014-03-14','YYYY-MM-DD');69;10;5;
2706322;3722;4983;TO_DATE('2014-03-04','YYYY-MM-DD');67;1;6;
4627739;3722;6038;TO_DATE('2014-03-14','YYYY-MM-DD');67;1;2;
2426968;513;5149;TO_DATE('2014-02-20','YYYY-MM-DD');65;28;5;
5825774;1797;6259;TO_DATE('2014-02-24','YYYY-MM-DD');65;28;3;
3397391;156;4944;TO_DATE('2013-07-04','YYYY-MM-DD');69;2;10;
5922886;156;5064;TO_DATE('2013-06-23','YYYY-MM-DD');70;9;5;
6599377;156;5975;TO_DATE('2013-06-24','YYYY-MM-DD');71;10;1;
3584336;156;6047;TO_DATE('2013-06-27','YYYY-MM-DD');70;9;4;
4255112;156;6320;TO_DATE('2013-06-29','YYYY-MM-DD');70;9;2;
8813579;156;4547;TO_DATE('2013-06-23','YYYY-MM-DD');70;9;10;
7161272;412;5968;TO_DATE('2013-10-02','YYYY-MM-DD');17;14;6;
9238163;2863;5399;TO_DATE('2013-11-14','YYYY-MM-DD');61;30;4;
9446429;2863;5403;TO_DATE('2013-11-17','YYYY-MM-DD');44;23;4;
4614369;2863;4845;TO_DATE('2013-11-12','YYYY-MM-DD');6;12;1;
3485421;2863;5817;TO_DATE('2013-11-16','YYYY-MM-DD');34;26;7;
5554276;2863;4933;TO_DATE('2013-11-11','YYYY-MM-DD');6;12;6;
7138995;2863;6024;TO_DATE('2013-11-13','YYYY-MM-DD');61;30;4;
3743612;2863;5428;TO_DATE('2013-11-16','YYYY-MM-DD');61;30;3;
3944213;1744;4824;TO_DATE('2013-08-14','YYYY-MM-DD');47;19;9;
8118813;1744;5037;TO_DATE('2013-08-13','YYYY-MM-DD');6;13;5;
2316907;1744;4726;TO_DATE('2013-08-14','YYYY-MM-DD');6;13;8;
1579441;1744;5378;TO_DATE('2013-08-15','YYYY-MM-DD');6;13;2;
7178034;3403;6429;TO_DATE('2014-01-05','YYYY-MM-DD');44;13;4;
7937796;3403;5359;TO_DATE('2014-01-15','YYYY-MM-DD');44;13;1;
4657735;3403;6325;TO_DATE('2014-01-18','YYYY-MM-DD');47;12;1;
4746431;3403;5966;TO_DATE('2014-01-13','YYYY-MM-DD');44;13;1;
4691580;3403;6475;TO_DATE('2014-01-11','YYYY-MM-DD');64;11;3;
3455155;3403;5469;TO_DATE('2014-01-05','YYYY-MM-DD');44;13;3;
8469991;3403;4857;TO_DATE('2014-01-16','YYYY-MM-DD');47;12;4;
4484055;3403;5735;TO_DATE('2014-01-12','YYYY-MM-DD');64;11;7;
2421284;3403;6134;TO_DATE('2014-01-18','YYYY-MM-DD');64;11;7;
8480434;4197;6390;TO_DATE('2013-10-27','YYYY-MM-DD');67;13;7;
1098898;4197;5809;TO_DATE('2013-10-18','YYYY-MM-DD');66;15;9;
9233802;4197;5432;TO_DATE('2013-10-28','YYYY-MM-DD');30;26;7;
6062085;4197;5760;TO_DATE('2013-10-27','YYYY-MM-DD');48;21;3;
1975437;4197;4538;TO_DATE('2013-10-21','YYYY-MM-DD');66;15;8;
3099023;4197;5333;TO_DATE('2013-10-24','YYYY-MM-DD');30;26;2;
4701434;2609;6116;TO_DATE('2014-02-26','YYYY-MM-DD');22;28;3;
9449577;2299;5201;TO_DATE('2013-08-06','YYYY-MM-DD');33;11;9;
2702372;2299;4739;TO_DATE('2013-08-07','YYYY-MM-DD');3;11;5;
4342515;2299;5558;TO_DATE('2013-08-01','YYYY-MM-DD');33;11;2;
3766359;2299;5420;TO_DATE('2013-08-11','YYYY-MM-DD');3;11;7;
361723;1288;5958;TO_DATE('2013-12-05','YYYY-MM-DD');38;28;10;
2682029;2045;6006;TO_DATE('2013-12-09','YYYY-MM-DD');38;28;3;
2510736;2737;5363;TO_DATE('2013-12-06','YYYY-MM-DD');38;28;4;
884506;95;6473;TO_DATE('2013-08-22','YYYY-MM-DD');60;28;9;
8271561;95;4560;TO_DATE('2013-08-21','YYYY-MM-DD');59;26;5;
96965;95;5419;TO_DATE('2013-08-17','YYYY-MM-DD');59;26;2;
2359361;95;4990;TO_DATE('2013-08-17','YYYY-MM-DD');60;28;6;
8807960;2506;5678;TO_DATE('2013-09-24','YYYY-MM-DD');67;8;6;
1101737;4100;5714;TO_DATE('2014-03-11','YYYY-MM-DD');56;15;2;
1283589;4100;6420;TO_DATE('2014-03-07','YYYY-MM-DD');56;15;7;
4274167;4100;5425;TO_DATE('2014-03-06','YYYY-MM-DD');13;12;5;
5118791;4100;6225;TO_DATE('2014-03-09','YYYY-MM-DD');50;17;5;
6498880;4100;4562;TO_DATE('2014-03-12','YYYY-MM-DD');69;28;1;
4681799;4100;6306;TO_DATE('2014-03-12','YYYY-MM-DD');13;12;6;
8394295;4100;6395;TO_DATE('2014-03-13','YYYY-MM-DD');13;12;2;
2405641;2325;5660;TO_DATE('2013-07-06','YYYY-MM-DD');67;8;7;
9801362;2325;6117;TO_DATE('2013-07-06','YYYY-MM-DD');70;10;6;
4938561;2325;5047;TO_DATE('2013-06-25','YYYY-MM-DD');71;9;7;
2040868;2325;5243;TO_DATE('2013-06-29','YYYY-MM-DD');70;10;10;
1521000;2325;4850;TO_DATE('2013-06-26','YYYY-MM-DD');67;8;3;
7750290;2325;5319;TO_DATE('2013-07-05','YYYY-MM-DD');71;9;1;
6126733;4442;5096;TO_DATE('2013-10-30','YYYY-MM-DD');42;13;2;
82972;4442;5262;TO_DATE('2013-11-04','YYYY-MM-DD');48;18;5;
6678299;4442;4650;TO_DATE('2013-10-25','YYYY-MM-DD');48;18;10;
1203539;1617;5698;TO_DATE('2013-05-25','YYYY-MM-DD');53;17;9;
350363;1617;5590;TO_DATE('2013-06-03','YYYY-MM-DD');53;17;7;
1159534;1617;6483;TO_DATE('2013-05-30','YYYY-MM-DD');53;17;4;
