COD_PEDIDO;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD_SOLICITADA;CANTIDAD_ENTREGADA
9019520;2;11;3;3;
9019520;12;27;16;16;
9019520;22;17;10;10;
9019520;30;18;11;11;
5926543;20;6;3;0;
5926543;27;2;18;0;
5926543;36;4;11;0;
5926543;69;2;16;0;
5428461;2;22;16;0;
5428461;5;29;6;0;
5428461;9;27;2;0;
5428461;60;29;7;0;
5428461;71;30;9;0;
3783718;63;24;17;0;
5006524;1;26;20;13;
5006524;9;11;3;2;
5006524;11;26;5;1;
5006524;36;16;2;1;
5006524;44;18;8;1;
5205717;2;20;17;17;
5205717;8;24;15;15;
5205717;14;27;7;7;
5205717;22;14;10;10;
5205717;46;11;10;10;
8465049;68;6;7;7;
8465049;71;2;2;2;
8465049;72;8;20;20;
2955462;5;1;16;16;
2955462;6;3;1;1;
2955462;9;8;5;5;
2955462;27;7;16;16;
2955462;55;8;17;17;
9051717;48;23;5;5;
7637327;1;12;8;8;
7637327;4;21;17;2;
7637327;58;19;2;2;
4738583;59;23;15;0;
9675368;52;25;15;8;
9675368;60;21;20;8;
8863462;48;29;12;12;
8863462;57;16;6;6;
8863462;66;21;16;16;
6576838;3;12;3;3;
6576838;69;18;10;10;
5298105;53;26;1;1;
5298105;55;12;15;15;
5298105;58;17;7;7;
5298105;63;18;15;15;
8460861;52;13;18;0;
8460861;55;21;15;0;
8460861;58;22;7;0;
8460861;59;11;9;0;
8460861;61;13;9;0;
2525631;68;9;10;0;
6851288;71;1;6;0;
4106092;3;22;19;19;
4106092;29;29;6;6;
4106092;70;28;11;11;
5045573;16;30;18;0;
5045573;22;28;1;0;
5045573;37;29;9;0;
9511562;13;3;16;0;
9511562;26;7;20;0;
9511562;36;4;8;0;
7058370;25;30;19;0;
7058370;34;12;3;0;
8858134;29;22;20;0;
8858134;53;17;2;0;
9760666;41;17;7;0;
1961161;68;9;20;0;
1961161;69;4;16;0;
5180377;56;21;10;0;
5180377;57;23;7;0;
3778882;16;21;9;0;
3778882;49;12;4;0;
4943309;55;11;8;0;
9854136;1;26;8;0;
9854136;22;29;2;0;
9854136;32;17;3;0;
9553536;8;21;20;20;
9553536;23;18;16;16;
9553536;50;16;5;5;
9553536;53;17;14;14;
9553536;62;27;13;13;
9367243;15;9;6;0;
9367243;36;2;13;0;
9367243;43;8;17;0;
1618725;12;18;3;0;
1618725;20;16;20;0;
1618725;29;11;9;0;
1618725;42;13;7;0;
991477;27;27;20;0;
991477;68;22;3;0;
4883094;25;20;12;0;
4883094;34;17;9;0;
4883094;58;11;11;0;
1744529;69;5;11;0;
1744529;71;6;20;0;
1744529;72;7;2;0;
131741;68;3;13;0;
131741;69;8;10;0;
131741;71;2;1;0;
131741;72;4;10;0;
9111147;27;1;4;3;
9111147;31;8;14;3;
9111147;41;7;17;11;
9111147;48;4;17;4;
9111147;66;6;19;5;
8077433;29;17;14;4;
8077433;35;19;9;5;
8077433;37;22;3;2;
8077433;45;18;19;3;
7095402;10;16;19;19;
7095402;13;13;14;14;
7095402;16;15;17;17;
9659238;38;27;1;1;
9659238;40;14;4;4;
3040411;10;1;20;0;
3040411;17;2;18;0;
3040411;41;10;14;0;
3040411;50;6;12;0;
3040411;62;9;18;0;
1161215;1;15;6;2;
1161215;8;29;18;15;
1161215;14;25;12;3;
1161215;22;21;16;5;
6329953;70;9;19;19;
6329953;71;2;10;10;
2585882;34;6;15;0;
2585882;71;2;4;0;
5905194;51;12;9;9;
5905194;62;14;19;19;
5905194;65;20;16;16;
5843696;1;12;11;0;
5843696;22;24;16;0;
5843696;48;12;17;0;
5843696;52;15;15;0;
2767021;3;24;4;4;
2767021;13;16;19;19;
2431127;34;27;19;19;
1659308;69;7;9;9;
1659308;70;1;14;14;
1659308;72;7;17;17;
7975814;58;25;3;3;
7975814;61;15;15;15;
7975814;66;16;10;10;
2379581;62;19;12;0;
7330253;8;15;19;3;
7330253;12;24;9;1;
7330253;17;21;3;2;
7330253;34;30;7;5;
7330253;56;17;10;6;
1665801;68;10;3;0;
1665801;69;3;11;0;
1665801;72;4;3;0;
5456062;25;22;20;19;
5456062;46;28;3;3;
5456062;60;26;7;6;
5456062;61;23;13;5;
1880354;33;8;18;0;
1880354;64;6;7;0;
3533146;55;27;18;18;
4938114;16;23;11;0;
4938114;24;20;15;0;
4938114;25;17;2;0;
4938114;46;20;3;0;
5896024;60;22;9;0;
7164405;21;12;13;0;
6063717;10;27;3;0;
6063717;12;30;11;0;
6063717;25;24;17;0;
6063717;34;27;1;0;
6063717;58;24;11;0;
7563838;68;5;19;0;
4537050;3;5;6;0;
4537050;27;8;6;0;
4537050;33;9;12;0;
4537050;40;1;10;0;
4537050;53;3;9;0;
5602940;7;1;14;0;
5602940;25;8;14;0;
5602940;36;1;2;0;
5602940;52;5;11;0;
5602940;63;10;8;0;
9398423;38;21;18;0;
9398423;45;12;10;0;
9398423;60;21;1;0;
8766141;10;11;3;0;
8766141;12;30;6;0;
8766141;13;15;8;0;
8766141;46;23;20;0;
8766141;47;27;20;0;
7029626;67;8;20;20;
8782033;4;4;18;18;
8782033;36;7;5;5;
8782033;40;1;2;2;
8782033;49;6;2;2;
7960890;10;13;15;15;
7960890;43;17;9;9;
7266084;67;10;5;5;
8101191;4;18;10;0;
8101191;48;30;6;0;
8101191;62;27;16;0;
7808123;41;28;16;0;
5892071;17;16;7;7;
9105973;27;5;15;0;
9105973;59;10;19;0;
9105973;60;4;1;0;
8233445;20;29;15;10;
8233445;36;30;2;2;
5012960;6;8;8;8;
5012960;22;6;11;11;
5012960;51;3;7;7;
5012960;53;3;20;20;
5012960;60;9;20;20;
3513644;51;12;2;0;
3513644;52;11;12;0;
3513644;53;16;11;0;
3513644;54;15;17;0;
3513644;64;22;18;0;
4566334;12;11;15;15;
4566334;64;24;5;5;
4566334;65;29;17;17;
4566334;66;19;1;1;
106857;21;29;18;18;
106857;41;12;4;4;
106857;43;14;14;14;
106857;56;21;8;8;
1633900;6;3;5;0;
1633900;7;10;6;0;
1633900;61;8;6;0;
1633900;66;3;11;0;
9913171;67;7;10;8;
453833;15;27;15;0;
453833;58;30;20;0;
453833;59;26;14;0;
453833;60;25;9;0;
453833;61;22;1;0;
2252995;3;19;17;17;
2252995;19;16;19;19;
374765;68;10;11;0;
374765;70;5;5;0;
4988181;13;16;6;0;
4988181;17;27;13;0;
4988181;29;30;2;0;
8003417;51;19;9;0;
8003417;61;22;5;0;
8003417;65;12;4;0;
8003417;66;25;19;0;
4937969;2;3;4;0;
4937969;46;10;20;0;
4937969;49;5;9;0;
4937969;52;8;18;0;
4937969;72;5;5;0;
6568980;2;24;16;13;
6568980;14;18;9;6;
6568980;21;23;17;6;
6568980;24;16;5;4;
6568980;43;15;14;12;
1533419;57;28;2;0;
1533419;66;18;8;0;
8571612;50;22;3;3;
1414383;5;6;13;0;
1414383;13;9;3;0;
1414383;42;6;9;0;
2573391;7;24;15;0;
2573391;10;30;3;0;
2573391;30;14;8;0;
2573391;43;12;7;0;
2573391;69;24;6;0;
4158890;4;27;20;0;
4158890;19;21;4;0;
4158890;27;28;9;0;
4158890;36;18;5;0;
5709506;58;28;12;0;
1751820;7;19;18;16;
1751820;10;20;5;3;
1751820;16;26;10;10;
1751820;40;24;9;1;
1751820;45;17;8;2;
6207881;8;11;10;0;
6207881;24;28;19;0;
6207881;33;16;19;0;
9605160;53;25;1;0;
9605160;56;23;16;0;
9605160;61;21;1;0;
6393393;2;18;2;0;
6393393;5;22;13;0;
6393393;6;23;6;0;
6393393;10;15;20;0;
6393393;24;28;14;0;
8101733;52;24;19;0;
9682738;13;23;12;0;
9682738;26;19;7;0;
9682738;27;28;15;0;
9682738;28;12;12;0;
1772163;6;22;12;10;
1772163;12;25;7;3;
1772163;26;17;5;4;
1772163;32;16;11;5;
8800190;7;21;6;0;
8800190;21;17;8;0;
8800190;44;25;16;0;
9858094;54;25;7;0;
9858094;62;20;5;0;
8606417;67;7;2;0;
8606417;69;1;2;0;
8606417;71;6;17;0;
8606417;72;1;13;0;
4251446;46;19;18;13;
4251446;61;13;9;1;
1875865;57;15;5;0;
5667251;7;30;18;0;
5667251;27;27;10;0;
5667251;47;16;8;0;
4286603;7;4;18;18;
7304300;19;21;20;9;
7304300;50;22;9;5;
7098047;68;10;16;0;
7098047;69;10;14;0;
7098047;71;5;16;0;
9781205;1;7;5;0;
9781205;4;3;14;0;
9781205;15;1;2;0;
9781205;22;1;1;0;
9781205;53;4;20;0;
9101281;52;15;10;0;
9101281;59;11;11;0;
9101281;62;23;9;0;
4992619;67;3;16;6;
4992619;69;3;5;2;
5230631;67;6;20;1;
5230631;68;7;3;1;
5230631;72;4;20;15;
9974399;56;11;5;0;
4175811;13;28;17;5;
4175811;15;19;5;5;
4175811;24;13;15;1;
4175811;27;18;18;14;
4175811;33;17;10;4;
9551561;51;15;5;0;
9551561;55;15;12;0;
9551561;56;28;10;0;
4213263;68;1;1;0;
4213263;70;9;10;0;
4213263;71;4;19;0;
4213263;72;2;15;0;
709263;68;1;1;1;
709263;70;10;20;1;
709263;71;10;15;8;
7933359;6;29;6;6;
7933359;10;14;6;6;
7933359;45;14;4;4;
5172136;3;20;17;17;
5172136;52;19;6;6;
5172136;54;25;17;17;
5324458;4;21;5;5;
5324458;32;30;12;12;
5324458;57;14;1;1;
5324458;63;15;8;8;
5324458;70;20;13;13;
1696013;59;12;13;0;
2702545;3;26;11;0;
2702545;11;24;7;0;
2702545;18;18;4;0;
3750755;9;16;12;1;
3750755;13;13;10;10;
3750755;16;23;15;12;
3750755;31;15;5;4;
9796285;18;29;17;0;
9796285;32;13;4;0;
7146380;71;9;5;0;
9394009;6;4;11;0;
9394009;19;9;3;0;
9394009;28;6;1;0;
9394009;47;9;15;0;
4998979;1;5;12;0;
4998979;11;2;18;0;
4998979;15;2;16;0;
4998979;23;2;19;0;
4998979;36;6;14;0;
5518103;6;14;4;4;
6184062;14;15;15;0;
6184062;21;15;4;0;
6184062;24;24;7;0;
6184062;64;23;20;0;
8253259;6;5;10;3;
8253259;53;5;10;8;
8253259;57;9;11;3;
8253259;64;1;7;4;
1042968;71;4;18;18;
1042968;72;9;5;5;
6438743;10;25;5;0;
6438743;25;23;16;0;
7476826;69;8;20;7;
7476826;71;5;14;8;
7476826;72;1;5;5;
6805273;2;29;14;0;
6805273;27;20;10;0;
6805273;30;23;12;0;
6805273;34;23;3;0;
9788661;71;8;9;9;
4018594;6;7;9;0;
4018594;24;2;7;0;
4018594;30;3;13;0;
4018594;39;1;4;0;
4018594;67;8;4;0;
7708291;36;13;16;8;
7708291;42;18;19;7;
7708291;43;23;18;7;
397193;51;27;10;10;
397193;56;21;4;4;
397193;59;17;18;18;
9592868;3;4;15;0;
9592868;15;3;6;0;
9592868;24;3;16;0;
9592868;29;3;18;0;
9592868;62;10;16;0;
1045227;3;30;9;9;
1045227;21;26;20;20;
1045227;24;22;17;17;
1965850;3;28;11;0;
1965850;19;28;12;0;
1965850;26;26;5;0;
6545488;51;19;19;19;
6545488;54;26;10;10;
6666428;62;14;5;5;
6666428;63;20;14;12;
6212278;2;13;5;5;
6212278;16;16;6;6;
6212278;37;25;9;9;
6212278;49;20;18;18;
5136720;24;6;7;0;
3803981;67;4;5;5;
3803981;69;8;4;4;
3803981;71;6;19;19;
3803981;72;2;14;14;
64851;8;22;15;0;
64851;11;17;11;0;
64851;25;17;7;0;
5281029;3;28;11;11;
5281029;52;11;12;12;
5281029;58;20;19;19;
9910888;12;14;1;0;
9910888;13;22;4;0;
9910888;50;30;8;0;
9910888;56;19;12;0;
3418012;54;11;13;0;
3418012;58;12;7;0;
3418012;59;29;8;0;
5768445;32;29;14;0;
1278358;53;19;2;0;
1278358;56;20;18;0;
1278358;62;24;6;0;
1278358;64;28;20;0;
7139237;9;9;19;0;
7139237;21;8;11;0;
7139237;23;4;12;0;
7139237;36;8;1;0;
7139237;57;5;13;0;
3127263;17;16;9;9;
3127263;38;20;2;2;
7240074;9;14;9;9;
520084;23;26;19;19;
520084;44;18;18;18;
6944097;67;9;19;0;
6944097;69;4;15;0;
6944097;70;2;17;0;
6944097;72;8;2;0;
4303167;3;22;1;1;
4303167;7;21;19;19;
4303167;35;20;5;5;
4303167;54;13;19;19;
4303167;72;19;9;9;
6877125;41;5;13;0;
6877125;65;7;2;0;
6877125;68;2;12;0;
6877125;71;9;17;0;
5433838;67;5;15;0;
5433838;69;2;9;0;
5433838;70;2;4;0;
5273350;20;18;11;0;
5273350;43;14;13;0;
5273350;71;17;16;0;
9536880;50;24;8;0;
932780;67;6;16;16;
932780;68;2;3;3;
932780;69;3;20;20;
6621037;6;2;3;0;
6621037;46;4;3;0;
2897317;4;28;2;0;
2897317;32;27;19;0;
2897317;34;14;11;0;
2897317;45;15;12;0;
2897317;59;18;14;0;
3178654;53;20;13;10;
3178654;62;24;5;3;
3341622;1;13;15;0;
3341622;19;12;11;0;
3341622;31;21;15;0;
4743385;2;6;13;13;
4743385;25;1;1;1;
4743385;34;6;15;15;
7192716;69;6;9;9;
7192716;71;5;2;1;
7192716;72;6;19;12;
2176705;4;29;4;0;
2176705;30;16;1;0;
2176705;37;20;1;0;
2176705;67;18;5;0;
2176705;69;30;11;0;
6261442;60;26;8;0;
6261442;61;15;15;0;
1818145;7;24;14;0;
1818145;28;11;7;0;
1818145;30;17;20;0;
1818145;67;15;1;0;
1818145;72;21;6;0;
8640660;60;19;3;3;
8640660;61;26;18;18;
8640660;64;25;15;15;
8102683;58;3;5;2;
2344796;69;3;11;11;
1448759;14;18;13;0;
1448759;20;27;19;0;
1448759;44;21;6;0;
6455633;62;23;12;0;
6455633;63;17;6;0;
6455633;64;19;5;0;
4961599;61;12;14;0;
4961599;64;30;2;0;
2687972;53;21;17;17;
2687972;60;20;8;8;
6620689;62;16;20;0;
3757880;20;16;9;9;
282608;6;24;14;5;
282608;32;18;19;4;
2908014;71;7;19;0;
4605653;5;21;15;0;
4605653;64;16;3;0;
4208363;12;30;11;0;
4208363;36;16;12;0;
4208363;49;24;11;0;
4208363;66;22;19;0;
3199975;30;5;5;4;
3199975;50;7;8;7;
5155869;68;21;6;6;
9756666;55;20;19;13;
9756666;62;15;12;2;
7457455;3;5;20;0;
7457455;31;2;7;0;
7457455;47;5;3;0;
1000012;54;26;11;0;
1000012;60;27;20;0;
1000012;62;18;3;0;
5149119;51;19;1;1;
5149119;57;19;3;3;
5149119;64;19;9;9;
5149119;66;14;18;18;
6335908;26;26;16;0;
6335908;62;12;14;0;
1141136;14;16;16;0;
1141136;36;23;4;0;
1141136;38;29;12;0;
1141136;58;24;2;0;
1566441;5;11;8;8;
1566441;8;17;6;6;
1566441;13;22;3;3;
1566441;19;25;8;8;
1566441;26;22;1;1;
7434065;35;18;2;0;
7434065;47;17;6;0;
1892256;28;11;9;0;
1892256;63;29;5;0;
1486350;57;18;15;15;
1486350;59;28;16;16;
2739586;53;29;14;14;
2739586;55;19;1;1;
2739586;57;11;9;9;
2739586;65;24;12;12;
6412352;13;11;18;18;
6412352;44;14;14;14;
1040284;36;3;18;18;
1040284;37;7;8;8;
3346681;70;6;5;0;
3346681;71;5;2;0;
3346681;72;1;19;0;
4719792;26;18;4;0;
4719792;27;27;5;0;
4719792;32;19;3;0;
1676108;1;13;8;5;
1676108;9;17;15;4;
1676108;17;22;19;10;
7791857;34;29;12;0;
7791857;43;11;6;0;
4122658;67;10;9;0;
4122658;70;6;17;0;
4122658;72;6;13;0;
9857769;6;13;10;0;
9857769;20;25;16;0;
7331774;37;25;16;16;
7331774;61;22;2;2;
7539332;35;21;10;0;
7539332;47;17;16;0;
6076946;68;8;3;0;
6076946;69;4;20;0;
6076946;71;8;18;0;
9707894;67;2;18;0;
9707894;69;5;2;0;
3894718;14;26;18;18;
3894718;19;20;16;16;
3894718;34;16;15;15;
3894718;66;30;11;11;
3894718;68;25;4;4;
292953;9;22;15;0;
292953;31;26;11;0;
292953;38;18;12;0;
292953;42;23;17;0;
292953;66;15;18;0;
5688404;7;19;15;0;
5688404;17;25;14;0;
5688404;21;11;17;0;
5688404;52;21;14;0;
3498003;68;3;3;0;
3498003;69;8;1;0;
3498003;70;1;14;0;
3498003;72;4;20;0;
5432448;11;24;19;0;
5432448;14;27;5;0;
5432448;59;17;2;0;
9059614;20;29;8;0;
9059614;29;17;2;0;
9059614;67;16;12;0;
3438144;12;24;12;2;
3438144;41;20;19;15;
3438144;46;20;15;5;
5781529;1;26;6;5;
5781529;2;27;5;5;
5781529;14;15;11;6;
5781529;27;12;10;8;
5781529;29;27;14;13;
3142279;68;9;15;0;
3142279;70;5;3;0;
3142279;72;2;8;0;
2382589;9;12;13;13;
2382589;23;25;1;1;
5174102;64;10;11;0;
8111762;53;12;10;0;
8111762;54;22;8;0;
8111762;61;20;4;0;
8111762;64;14;17;0;
8111762;65;14;17;0;
9802350;69;4;15;0;
9802350;71;4;14;0;
7844946;19;30;13;13;
7844946;32;14;18;18;
7844946;44;25;19;19;
8459947;18;3;2;1;
8459947;20;9;16;11;
8459947;49;10;6;2;
8459947;65;9;11;9;
8459947;66;1;1;1;
7174995;33;4;14;14;
7174995;72;1;1;1;
2039962;10;25;14;0;
2039962;15;14;20;0;
2039962;35;12;2;0;
2039962;66;11;17;0;
9542780;67;5;12;1;
9542780;70;1;3;1;
9542780;71;7;5;3;
5275976;7;26;16;0;
5275976;33;19;19;0;
5275976;45;28;12;0;
9989013;68;10;12;0;
9989013;69;10;11;0;
1613187;30;12;12;12;
1613187;38;24;18;18;
1613187;39;29;19;19;
1613187;41;22;6;6;
1613187;65;18;16;16;
8976556;60;12;7;0;
321264;20;15;20;5;
321264;44;16;6;5;
4649382;45;21;10;10;
4740817;29;20;14;0;
9366031;2;28;3;3;
9366031;25;19;20;20;
9366031;38;17;16;16;
9366031;47;12;18;18;
5062422;69;1;19;19;
5062422;70;8;9;9;
5062422;71;1;4;4;
5062422;72;4;8;8;
857558;67;3;14;0;
9783759;27;10;4;3;
9783759;60;5;15;14;
9783759;62;8;17;8;
1757569;67;1;13;0;
566977;3;23;3;3;
566977;10;24;19;19;
566977;34;17;13;13;
566977;43;17;8;8;
5405179;17;29;2;0;
5405179;50;19;10;0;
2262608;34;12;19;0;
2262608;56;29;13;0;
2262608;59;24;3;0;
2262608;63;28;20;0;
2262608;72;26;9;0;
6637158;58;11;1;1;
6637158;60;14;2;2;
9950362;54;26;7;7;
1979484;14;22;3;0;
1979484;34;15;8;0;
1979484;54;21;14;0;
1010026;3;15;4;4;
1010026;25;28;6;6;
4733306;67;10;14;0;
4733306;68;1;11;0;
4733306;72;4;5;0;
5127475;67;7;8;0;
5127475;69;3;18;0;
2206157;67;3;6;0;
2206157;68;7;18;0;
2206157;69;4;1;0;
2206157;71;2;4;0;
356441;68;10;19;0;
356441;70;10;15;0;
356441;71;1;5;0;
3905465;22;12;3;3;
3905465;59;12;11;11;
3905465;61;18;16;16;
3113089;4;27;12;12;
3113089;8;23;20;20;
3113089;17;23;7;7;
3113089;33;11;17;17;
5303938;19;23;16;0;
5303938;31;14;15;0;
5303938;35;18;15;0;
5303938;36;28;2;0;
8153118;40;25;12;0;
8153118;46;28;15;0;
8153118;62;27;1;0;
8153118;65;19;20;0;
8153118;66;14;10;0;
7611671;17;13;14;0;
7611671;28;18;19;0;
7611671;35;27;15;0;
7611671;40;22;14;0;
7611671;58;20;3;0;
8912839;14;10;4;0;
8912839;38;10;3;0;
8912839;40;9;4;0;
8912839;50;3;1;0;
8912839;60;6;14;0;
2115080;9;24;12;12;
8777251;68;10;18;1;
8777251;69;2;17;1;
8777251;71;9;5;1;
8777251;72;5;12;4;
9463591;9;28;1;0;
9463591;57;28;2;0;
6559764;57;21;8;0;
6559764;60;19;9;0;
6559764;63;11;17;0;
226276;51;4;18;0;
226276;57;9;16;0;
2900030;11;16;8;0;
2900030;67;22;2;0;
9676837;68;4;8;0;
9676837;69;9;5;0;
9676837;71;5;18;0;
4211621;68;10;11;10;
4211621;71;1;10;10;
8686118;69;7;20;0;
8686118;71;5;15;0;
5862106;55;1;15;15;
332215;54;5;18;0;
332215;67;1;6;0;
7317435;18;27;19;0;
7317435;33;13;4;0;
7317435;47;14;8;0;
7317435;60;18;15;0;
5127129;52;16;5;5;
5127129;54;23;2;1;
5127129;60;29;13;5;
9909817;68;2;13;13;
9909817;69;10;17;17;
9909817;70;8;4;4;
7416216;24;12;11;0;
7416216;35;28;14;0;
7416216;38;28;3;0;
7416216;40;21;11;0;
4680105;7;7;19;19;
4680105;36;4;7;7;
4680105;37;7;20;20;
4680105;44;9;10;10;
2391202;61;28;7;0;
2391202;63;28;1;0;
5594951;47;8;3;0;
9729400;60;26;20;0;
9729400;63;12;12;0;
9729400;66;19;15;0;
7988771;6;28;18;0;
2010568;57;17;13;0;
8919723;2;23;12;0;
494764;7;11;8;8;
494764;36;12;8;8;
494764;46;23;16;16;
8550322;23;25;5;0;
8692597;13;2;17;0;
8692597;21;5;9;0;
8692597;48;2;17;0;
8692597;64;5;8;0;
1883008;36;29;10;0;
1883008;40;21;2;0;
1883008;56;22;9;0;
1883008;66;18;6;0;
1879662;12;15;1;0;
1879662;14;30;8;0;
1879662;41;29;14;0;
1879662;49;12;4;0;
4110039;69;9;16;16;
4110039;70;9;2;2;
4110039;71;4;1;1;
4110039;72;2;20;20;
1096100;44;29;5;4;
1096100;49;16;6;4;
1096100;56;14;20;16;
1096100;67;27;7;3;
2664776;68;4;4;4;
2664776;69;3;14;14;
2664776;70;6;6;6;
6825711;3;9;3;0;
6825711;46;2;12;0;
6825711;49;3;16;0;
1851770;56;21;7;0;
2040815;67;4;16;16;
2040815;70;1;7;7;
2040815;72;7;15;15;
1330520;7;28;5;0;
1233790;25;27;3;0;
1233790;34;13;13;0;
1560983;24;18;13;2;
4672250;72;7;2;2;
8738493;22;23;16;16;
8738493;46;27;11;11;
8738493;55;19;15;15;
4701915;16;16;17;0;
4701915;50;11;12;0;
8241402;31;30;9;0;
8241402;41;22;9;0;
8241402;62;27;18;0;
8241402;72;30;2;0;
6150092;5;2;15;15;
6150092;29;6;13;13;
6150092;31;6;19;19;
6150092;63;9;18;18;
2557035;38;11;7;0;
2557035;61;29;14;0;
2997083;21;11;12;4;
2997083;37;24;20;19;
2997083;65;22;6;4;
5525283;2;5;10;10;
5525283;6;4;16;16;
5525283;7;6;13;13;
5525283;40;3;10;10;
234278;15;18;20;0;
234278;19;15;19;0;
234278;35;16;16;0;
234278;68;28;10;0;
6180736;54;15;2;2;
6180736;56;29;5;5;
6180736;58;12;9;9;
6180736;59;16;19;19;
6180736;61;23;20;20;
7969522;55;20;8;0;
7969522;56;26;9;0;
7969522;59;18;14;0;
7969522;62;23;14;0;
7969522;64;17;19;0;
2190480;9;4;11;0;
2190480;31;6;12;0;
2190480;49;4;13;0;
2190480;69;1;11;0;
2782925;15;14;16;16;
2782925;21;27;1;1;
2782925;32;19;2;2;
2782925;52;27;20;20;
1656893;2;24;5;0;
1656893;13;28;14;0;
1656893;26;23;16;0;
1656893;43;12;6;0;
1656893;45;25;13;0;
1183835;58;25;13;0;
1183835;63;11;2;0;
1679890;26;21;2;2;
6249431;28;18;11;0;
6249431;38;13;13;0;
6249431;39;14;4;0;
6249431;66;11;17;0;
6249431;67;21;6;0;
7099841;18;8;20;0;
7099841;30;4;6;0;
6306713;55;28;5;5;
6306713;56;24;6;6;
6306713;57;26;13;13;
6306713;60;24;2;2;
6306713;61;20;13;13;
4415768;69;6;16;11;
1689126;11;9;5;0;
1689126;19;6;15;0;
1689126;27;2;11;0;
1689126;41;4;5;0;
1689126;43;7;8;0;
5677566;55;20;18;18;
5677566;56;29;12;12;
5677566;59;13;7;7;
5677566;60;24;17;17;
5677566;62;22;15;15;
9741430;61;13;11;3;
9741430;64;11;20;2;
380638;53;11;5;5;
380638;60;11;14;14;
2635468;2;5;1;1;
2635468;5;7;3;1;
2635468;52;8;10;5;
9021089;18;9;5;0;
9021089;25;1;11;0;
9021089;53;1;19;0;
9021089;69;7;20;0;
8185250;52;18;18;18;
8185250;60;21;15;15;
6201682;1;4;15;0;
6201682;35;10;9;0;
6201682;57;6;3;0;
6201682;68;4;8;0;
6201682;69;10;20;0;
4415330;8;26;2;1;
4415330;40;15;19;17;
4415330;44;25;15;8;
4415330;67;11;18;6;
9421138;3;2;19;19;
9421138;56;8;13;13;
9421138;66;3;5;5;
3214109;14;14;4;0;
3214109;31;27;6;0;
8232593;29;15;10;10;
8232593;40;26;18;18;
8232593;70;29;3;3;
3430846;68;1;11;11;
3430846;69;8;15;15;
3430846;70;9;17;17;
4763091;67;1;8;0;
4763091;69;10;16;0;
7858167;15;18;9;0;
7858167;34;14;14;0;
7858167;37;21;12;0;
7858167;41;22;4;0;
8056526;25;23;9;9;
8056526;43;13;10;10;
8056526;57;22;15;15;
8056526;63;19;13;13;
4597052;24;7;1;0;
4597052;64;9;6;0;
4597052;69;7;11;0;
5463588;65;28;3;0;
3850629;67;4;11;11;
4374160;68;7;20;0;
4374160;70;4;2;0;
4374160;71;9;4;0;
4374160;72;5;20;0;
490053;54;19;3;3;
490053;66;27;19;19;
4197280;10;4;11;0;
4197280;38;3;14;0;
4197280;44;6;2;0;
4197280;69;7;2;0;
3215481;15;22;20;0;
3215481;40;23;14;0;
3215481;46;30;6;0;
