NUMERO;COD_LOCAL;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD;FECHA;PRECIO;
5742076;4504;49;18;3;TO_DATE('2013-09-04','YYYY-MM-DD');70113;
4235871;5690;72;10;11;TO_DATE('2013-11-14','YYYY-MM-DD');225563;
1641378;5567;59;13;20;TO_DATE('2013-06-06','YYYY-MM-DD');109081;
9743590;4965;67;6;9;TO_DATE('2014-02-12','YYYY-MM-DD');154529;
3314546;4915;71;4;7;TO_DATE('2013-11-30','YYYY-MM-DD');104854;
8621213;6097;17;30;14;TO_DATE('2014-04-18','YYYY-MM-DD');275607;
486291;4648;20;21;18;TO_DATE('2014-03-02','YYYY-MM-DD');89074;
1246737;5995;36;11;10;TO_DATE('2013-07-19','YYYY-MM-DD');174050;
5106388;6480;59;26;10;TO_DATE('2014-02-06','YYYY-MM-DD');170095;
5962174;4537;35;16;14;TO_DATE('2013-09-18','YYYY-MM-DD');148557;
2313905;5548;66;27;8;TO_DATE('2013-04-22','YYYY-MM-DD');63603;
2700703;6488;16;21;18;TO_DATE('2014-01-07','YYYY-MM-DD');14856;
1758881;5909;67;7;5;TO_DATE('2013-08-17','YYYY-MM-DD');252719;
9046542;4970;67;2;14;TO_DATE('2014-04-05','YYYY-MM-DD');25484;
5262733;6045;53;13;20;TO_DATE('2013-07-08','YYYY-MM-DD');245379;
3273442;6098;53;23;16;TO_DATE('2013-08-16','YYYY-MM-DD');170958;
3669648;6002;67;5;19;TO_DATE('2013-06-20','YYYY-MM-DD');289907;
5843131;6302;45;29;19;TO_DATE('2013-05-19','YYYY-MM-DD');263737;
5644675;4952;3;20;18;TO_DATE('2013-07-28','YYYY-MM-DD');119781;
7587005;5088;72;2;20;TO_DATE('2013-06-10','YYYY-MM-DD');284441;
2238393;6406;58;12;9;TO_DATE('2014-02-16','YYYY-MM-DD');31470;
2310451;5098;71;10;5;TO_DATE('2013-09-21','YYYY-MM-DD');97411;
8618964;4790;67;1;13;TO_DATE('2013-11-30','YYYY-MM-DD');83383;
5849563;5200;51;30;8;TO_DATE('2013-12-31','YYYY-MM-DD');96901;
3372269;5312;40;15;11;TO_DATE('2013-12-22','YYYY-MM-DD');160299;
5642309;4552;53;16;2;TO_DATE('2013-11-07','YYYY-MM-DD');257939;
5286937;5135;22;24;18;TO_DATE('2013-07-28','YYYY-MM-DD');94565;
6327579;6366;70;6;17;TO_DATE('2013-08-28','YYYY-MM-DD');127468;
1766900;5057;53;27;20;TO_DATE('2013-08-24','YYYY-MM-DD');292708;
1950473;6044;29;23;13;TO_DATE('2013-09-19','YYYY-MM-DD');76660;
143194;6340;67;6;20;TO_DATE('2013-10-07','YYYY-MM-DD');266899;
8996916;5459;4;27;2;TO_DATE('2014-03-14','YYYY-MM-DD');129438;
9834075;6051;57;24;8;TO_DATE('2013-08-14','YYYY-MM-DD');81872;
1932651;5012;62;18;16;TO_DATE('2013-08-31','YYYY-MM-DD');141213;
2560551;5167;68;6;8;TO_DATE('2013-05-29','YYYY-MM-DD');30928;
1792299;4808;72;7;1;TO_DATE('2014-04-06','YYYY-MM-DD');173482;
7663294;6350;68;5;4;TO_DATE('2014-01-25','YYYY-MM-DD');181221;
3429135;6010;14;12;8;TO_DATE('2013-06-17','YYYY-MM-DD');277667;
5921598;6448;72;5;1;TO_DATE('2014-02-10','YYYY-MM-DD');292425;
5390458;5078;71;7;2;TO_DATE('2013-09-09','YYYY-MM-DD');115728;
2404060;5006;67;1;20;TO_DATE('2014-04-15','YYYY-MM-DD');273394;
2029310;5401;71;7;16;TO_DATE('2013-07-20','YYYY-MM-DD');187799;
5880862;4536;67;1;20;TO_DATE('2013-08-29','YYYY-MM-DD');205322;
8010957;4918;24;23;6;TO_DATE('2013-09-29','YYYY-MM-DD');217495;
3714293;5358;11;29;7;TO_DATE('2013-09-21','YYYY-MM-DD');16621;
8502270;4982;51;12;12;TO_DATE('2013-08-31','YYYY-MM-DD');77040;
3821996;6431;66;13;9;TO_DATE('2013-09-14','YYYY-MM-DD');183625;
6492757;5702;44;30;4;TO_DATE('2013-11-03','YYYY-MM-DD');147236;
1210196;6446;70;9;18;TO_DATE('2013-11-23','YYYY-MM-DD');62976;
9309585;6113;70;6;2;TO_DATE('2013-05-16','YYYY-MM-DD');246276;
6864887;6501;68;10;18;TO_DATE('2013-07-31','YYYY-MM-DD');239215;
9646394;5997;59;24;1;TO_DATE('2013-07-11','YYYY-MM-DD');111774;
2949949;6029;70;2;4;TO_DATE('2013-12-05','YYYY-MM-DD');272757;
8974436;5833;69;9;11;TO_DATE('2013-11-24','YYYY-MM-DD');201952;
3132336;5404;22;14;2;TO_DATE('2013-12-12','YYYY-MM-DD');24915;
527150;6298;67;3;9;TO_DATE('2013-04-20','YYYY-MM-DD');132226;
5918858;4918;11;17;17;TO_DATE('2013-12-20','YYYY-MM-DD');294517;
2952231;5736;67;4;9;TO_DATE('2014-04-06','YYYY-MM-DD');76171;
5953698;6116;56;24;11;TO_DATE('2014-01-04','YYYY-MM-DD');108435;
919271;5102;69;1;19;TO_DATE('2013-09-16','YYYY-MM-DD');76621;
4967652;6094;71;10;11;TO_DATE('2013-07-29','YYYY-MM-DD');267460;
4873710;5500;19;28;16;TO_DATE('2014-01-16','YYYY-MM-DD');62601;
1005607;5294;1;25;1;TO_DATE('2013-06-18','YYYY-MM-DD');232842;
4805731;4755;4;15;3;TO_DATE('2014-03-12','YYYY-MM-DD');212351;
3945879;5555;32;16;20;TO_DATE('2014-04-14','YYYY-MM-DD');145728;
4418638;5957;70;5;15;TO_DATE('2013-05-31','YYYY-MM-DD');107455;
2260549;6127;4;25;17;TO_DATE('2013-09-23','YYYY-MM-DD');151614;
8952230;6222;8;24;10;TO_DATE('2013-12-18','YYYY-MM-DD');272708;
5094806;5840;69;2;4;TO_DATE('2013-11-04','YYYY-MM-DD');173841;
9368346;5004;56;20;19;TO_DATE('2013-11-03','YYYY-MM-DD');66178;
3388676;6453;46;15;3;TO_DATE('2013-11-15','YYYY-MM-DD');140275;
4992856;5119;69;5;20;TO_DATE('2014-04-16','YYYY-MM-DD');72053;
635408;5573;55;21;20;TO_DATE('2013-08-15','YYYY-MM-DD');167725;
3450216;5639;70;10;16;TO_DATE('2013-09-08','YYYY-MM-DD');37807;
5451325;5462;52;24;18;TO_DATE('2014-03-18','YYYY-MM-DD');286373;
1339782;4866;68;8;20;TO_DATE('2014-02-01','YYYY-MM-DD');137548;
7841795;5112;55;13;7;TO_DATE('2013-12-24','YYYY-MM-DD');105679;
748062;6244;63;26;1;TO_DATE('2013-07-04','YYYY-MM-DD');267454;
176861;5772;70;2;11;TO_DATE('2013-11-17','YYYY-MM-DD');87184;
6207329;5250;48;19;10;TO_DATE('2013-09-01','YYYY-MM-DD');119517;
1083802;6124;72;8;6;TO_DATE('2013-07-26','YYYY-MM-DD');131179;
8420597;6113;69;2;18;TO_DATE('2014-04-01','YYYY-MM-DD');40230;
6883011;6061;60;22;17;TO_DATE('2013-10-15','YYYY-MM-DD');175894;
8266665;6364;62;27;8;TO_DATE('2014-01-21','YYYY-MM-DD');224679;
4903423;4724;20;11;20;TO_DATE('2013-06-27','YYYY-MM-DD');204345;
3598756;5388;62;23;4;TO_DATE('2013-06-11','YYYY-MM-DD');204619;
7433101;6019;72;3;13;TO_DATE('2013-07-10','YYYY-MM-DD');215435;
8414879;5313;72;10;19;TO_DATE('2014-02-22','YYYY-MM-DD');162920;
9092689;6341;57;21;14;TO_DATE('2013-10-07','YYYY-MM-DD');220267;
8461993;4871;67;6;18;TO_DATE('2014-01-03','YYYY-MM-DD');124688;
129254;5372;52;14;2;TO_DATE('2013-08-09','YYYY-MM-DD');185771;
8916490;5984;48;18;2;TO_DATE('2013-06-11','YYYY-MM-DD');36990;
9837668;5568;52;15;12;TO_DATE('2013-05-23','YYYY-MM-DD');66010;
2009588;5817;47;27;1;TO_DATE('2013-09-10','YYYY-MM-DD');186781;
6284466;4929;68;1;5;TO_DATE('2014-02-12','YYYY-MM-DD');133931;
3917523;6322;43;21;18;TO_DATE('2014-01-05','YYYY-MM-DD');143262;
2799348;5798;19;30;1;TO_DATE('2013-07-28','YYYY-MM-DD');223192;
75470;5652;56;21;17;TO_DATE('2013-10-11','YYYY-MM-DD');53835;
3473715;4813;57;26;1;TO_DATE('2014-04-03','YYYY-MM-DD');152400;
9719070;6304;67;5;6;TO_DATE('2013-08-10','YYYY-MM-DD');77837;
2260646;6481;70;6;5;TO_DATE('2013-08-22','YYYY-MM-DD');226758;
9521909;5060;37;29;13;TO_DATE('2014-02-20','YYYY-MM-DD');232901;
6367120;6390;22;17;3;TO_DATE('2013-08-23','YYYY-MM-DD');112805;
8939549;5643;69;10;16;TO_DATE('2013-09-04','YYYY-MM-DD');287528;
7307139;6222;38;14;18;TO_DATE('2013-10-15','YYYY-MM-DD');120549;
5579915;5306;23;27;2;TO_DATE('2013-11-03','YYYY-MM-DD');286537;
9209846;5252;66;11;14;TO_DATE('2014-03-25','YYYY-MM-DD');155466;
4500996;4505;48;16;20;TO_DATE('2013-12-17','YYYY-MM-DD');26189;
6396391;4742;52;23;9;TO_DATE('2013-11-03','YYYY-MM-DD');34149;
1045994;6434;57;14;3;TO_DATE('2013-10-19','YYYY-MM-DD');67406;
6013173;4962;66;24;7;TO_DATE('2013-11-25','YYYY-MM-DD');247949;
2342681;4788;72;9;3;TO_DATE('2013-11-27','YYYY-MM-DD');22116;
6638513;4977;28;13;4;TO_DATE('2013-06-20','YYYY-MM-DD');118947;
5915840;5872;53;27;8;TO_DATE('2013-08-19','YYYY-MM-DD');232988;
2263209;5840;70;10;6;TO_DATE('2013-06-02','YYYY-MM-DD');104510;
6603996;4768;71;3;16;TO_DATE('2013-12-30','YYYY-MM-DD');49626;
8884651;5668;57;15;7;TO_DATE('2014-02-21','YYYY-MM-DD');186701;
1584176;5722;2;26;11;TO_DATE('2013-11-18','YYYY-MM-DD');142278;
1889171;6400;69;6;13;TO_DATE('2014-01-11','YYYY-MM-DD');152058;
1018539;5630;68;10;8;TO_DATE('2014-04-06','YYYY-MM-DD');50376;
42827;5315;66;30;9;TO_DATE('2014-03-07','YYYY-MM-DD');78704;
2836276;5757;1;22;1;TO_DATE('2014-02-21','YYYY-MM-DD');15086;
8265455;6166;68;1;15;TO_DATE('2013-09-16','YYYY-MM-DD');299486;
2712896;6110;54;28;3;TO_DATE('2013-05-17','YYYY-MM-DD');140150;
3653295;5392;68;4;15;TO_DATE('2014-03-11','YYYY-MM-DD');157331;
4405650;5705;64;12;17;TO_DATE('2014-03-17','YYYY-MM-DD');103275;
473278;5843;14;30;10;TO_DATE('2014-02-23','YYYY-MM-DD');69769;
4797324;6276;60;17;12;TO_DATE('2013-07-23','YYYY-MM-DD');237910;
5239680;5872;60;14;12;TO_DATE('2013-04-22','YYYY-MM-DD');260675;
7968641;5080;58;20;20;TO_DATE('2013-10-03','YYYY-MM-DD');65915;
6047679;6465;58;12;11;TO_DATE('2013-12-23','YYYY-MM-DD');279200;
1232042;6065;68;4;7;TO_DATE('2013-10-16','YYYY-MM-DD');240269;
5984165;5911;15;19;5;TO_DATE('2013-06-19','YYYY-MM-DD');73438;
6027677;5051;51;21;9;TO_DATE('2014-02-07','YYYY-MM-DD');260139;
6467979;5396;68;1;17;TO_DATE('2013-06-04','YYYY-MM-DD');279370;
5646767;6055;68;4;5;TO_DATE('2014-02-06','YYYY-MM-DD');55738;
6017087;5236;62;21;1;TO_DATE('2013-10-21','YYYY-MM-DD');173287;
8812120;5392;70;10;10;TO_DATE('2013-06-26','YYYY-MM-DD');202048;
9327230;5840;70;5;12;TO_DATE('2014-03-16','YYYY-MM-DD');226292;
9855196;6217;61;11;2;TO_DATE('2013-07-22','YYYY-MM-DD');53180;
8611282;5537;67;3;5;TO_DATE('2013-10-05','YYYY-MM-DD');171021;
3100043;6297;13;25;11;TO_DATE('2013-05-13','YYYY-MM-DD');184697;
2986927;5585;66;15;1;TO_DATE('2014-03-10','YYYY-MM-DD');46049;
6258181;6295;28;14;17;TO_DATE('2013-04-24','YYYY-MM-DD');77495;
4119923;6305;67;10;13;TO_DATE('2013-12-30','YYYY-MM-DD');136216;
3993054;5728;61;15;5;TO_DATE('2013-04-28','YYYY-MM-DD');171103;
3007545;6437;68;3;16;TO_DATE('2013-08-16','YYYY-MM-DD');78770;
135483;5526;72;3;19;TO_DATE('2013-12-26','YYYY-MM-DD');39516;
4560913;6387;60;14;8;TO_DATE('2013-05-02','YYYY-MM-DD');249115;
6160468;6302;41;27;11;TO_DATE('2014-04-13','YYYY-MM-DD');181734;
8677288;6102;63;23;12;TO_DATE('2013-06-25','YYYY-MM-DD');239199;
8084173;5689;47;11;7;TO_DATE('2014-02-25','YYYY-MM-DD');49435;
654567;6063;31;14;18;TO_DATE('2013-07-02','YYYY-MM-DD');180574;
5520382;4989;7;28;18;TO_DATE('2013-08-22','YYYY-MM-DD');15921;
3639163;4508;39;29;14;TO_DATE('2014-01-02','YYYY-MM-DD');11836;
6474712;5400;1;13;18;TO_DATE('2014-02-15','YYYY-MM-DD');14376;
1959420;6145;49;11;16;TO_DATE('2013-07-26','YYYY-MM-DD');19488;
7809407;4927;56;15;18;TO_DATE('2013-06-05','YYYY-MM-DD');255156;
9261487;5952;71;8;9;TO_DATE('2013-05-18','YYYY-MM-DD');177591;
3602081;6241;57;26;11;TO_DATE('2013-07-23','YYYY-MM-DD');150779;
6816102;5015;68;6;14;TO_DATE('2013-11-13','YYYY-MM-DD');241970;
5266828;5297;58;24;2;TO_DATE('2014-01-09','YYYY-MM-DD');16542;
4429222;5760;5;29;14;TO_DATE('2013-12-21','YYYY-MM-DD');103845;
9273901;6071;72;4;15;TO_DATE('2013-08-16','YYYY-MM-DD');12194;
5647534;4550;40;27;3;TO_DATE('2014-04-15','YYYY-MM-DD');223024;
5110577;6083;6;27;2;TO_DATE('2013-11-17','YYYY-MM-DD');260743;
8336937;6302;40;23;4;TO_DATE('2014-01-03','YYYY-MM-DD');219773;
609753;5264;16;12;5;TO_DATE('2013-05-16','YYYY-MM-DD');91840;
1357393;5850;72;1;3;TO_DATE('2013-08-31','YYYY-MM-DD');193800;
1030827;5968;63;11;8;TO_DATE('2014-03-07','YYYY-MM-DD');183722;
4476674;5523;57;28;16;TO_DATE('2013-10-14','YYYY-MM-DD');80008;
7729068;6457;69;9;14;TO_DATE('2013-09-05','YYYY-MM-DD');201891;
3214011;5323;6;29;11;TO_DATE('2013-11-30','YYYY-MM-DD');290014;
6604496;5371;72;5;9;TO_DATE('2013-06-26','YYYY-MM-DD');270492;
2659713;5390;72;9;14;TO_DATE('2013-09-15','YYYY-MM-DD');243614;
5779320;4705;70;9;1;TO_DATE('2013-04-27','YYYY-MM-DD');294984;
7703444;5366;15;17;19;TO_DATE('2013-12-14','YYYY-MM-DD');145941;
4243498;6459;39;20;11;TO_DATE('2013-12-14','YYYY-MM-DD');95265;
7459166;6143;52;21;1;TO_DATE('2013-10-29','YYYY-MM-DD');216422;
6788232;5869;63;17;11;TO_DATE('2013-09-11','YYYY-MM-DD');38651;
5448652;5669;72;2;18;TO_DATE('2013-08-19','YYYY-MM-DD');299636;
967090;6488;27;29;10;TO_DATE('2014-04-07','YYYY-MM-DD');65972;
1783041;4603;67;2;1;TO_DATE('2013-11-19','YYYY-MM-DD');207356;
5211053;5175;70;2;12;TO_DATE('2013-05-10','YYYY-MM-DD');254627;
5162404;6072;65;23;5;TO_DATE('2014-03-11','YYYY-MM-DD');267429;
4740235;5727;54;16;17;TO_DATE('2013-05-25','YYYY-MM-DD');103973;
4739285;4946;67;9;15;TO_DATE('2014-03-15','YYYY-MM-DD');161939;
6076188;6066;59;11;15;TO_DATE('2014-02-02','YYYY-MM-DD');129683;
3537200;5747;49;30;7;TO_DATE('2013-05-06','YYYY-MM-DD');64673;
7700615;4645;67;5;5;TO_DATE('2013-07-01','YYYY-MM-DD');160740;
1986072;5068;39;23;7;TO_DATE('2013-05-08','YYYY-MM-DD');104748;
1664519;4878;2;26;4;TO_DATE('2014-03-18','YYYY-MM-DD');298863;
9717316;6072;52;20;1;TO_DATE('2013-11-24','YYYY-MM-DD');214496;
9822565;5158;71;7;13;TO_DATE('2013-12-03','YYYY-MM-DD');250826;
2761094;6257;61;16;12;TO_DATE('2013-06-02','YYYY-MM-DD');26571;
