COD_BODEGA;COD_PEDIDO;TIPO_NOTIFICACION;MENSAJE_E_MAIL;
1363;5275976;'Balanceo Bodega';'La bodega con identificador 1363 está enviando productos a una nueva bodega.';
3083;8976556;'Balanceo Bodega';'La bodega con identificador 3083 está enviando productos a una nueva bodega.';
3423;4649382;'Cierre Bodega';'La bodega con identificador 3423 está en mantenimiento.';
1146;857558;'Balanceo Bodega';'La bodega con identificador 1146 está enviando productos a una nueva bodega.';
4234;9950362;'Cierre Bodega';'La bodega con identificador 4234 está en ampliacion.';
1152;3905465;'Cierre Bodega';'La bodega con identificador 1152 está en ampliacion.';
1655;332215;'Cierre Bodega';'La bodega con identificador 1655 está en ampliacion.';
4115;332215;'Cierre Bodega';'La bodega con identificador 4115 está en mantenimiento.';
1582;7317435;'Balanceo Bodega';'La bodega con identificador 1582 está enviando productos a una nueva bodega.';
3642;7416216;'Cierre Bodega';'La bodega con identificador 3642 está en mantenimiento.';
3885;2391202;'Cierre Bodega';'La bodega con identificador 3885 está en mantenimiento.';
694;5594951;'Balanceo Bodega';'La bodega con identificador 694 está enviando productos a una nueva bodega.';
1713;8550322;'Cierre Bodega';'La bodega con identificador 1713 está en ampliacion.';
3072;1096100;'Cierre Bodega';'La bodega con identificador 3072 está en ampliacion.';
1238;1560983;'Cierre Bodega';'La bodega con identificador 1238 está en ampliacion.';
1655;4672250;'Cierre Bodega';'La bodega con identificador 1655 está en ampliacion.';
1932;8738493;'Cierre Bodega';'La bodega con identificador 1932 está en mantenimiento.';
3865;2190480;'Cierre Bodega';'La bodega con identificador 3865 está en mantenimiento.';
1666;2190480;'Cierre Bodega';'La bodega con identificador 1666 está en ampliacion.';
2134;1679890;'Cierre Bodega';'La bodega con identificador 2134 está en ampliacion.';
3865;6249431;'Cierre Bodega';'La bodega con identificador 3865 está en mantenimiento.';
738;6249431;'Cierre Bodega';'La bodega con identificador 738 está en mantenimiento.';
1633;5677566;'Balanceo Bodega';'La bodega con identificador 1633 está enviando productos a una nueva bodega.';
3816;9421138;'Balanceo Bodega';'La bodega con identificador 3816 está enviando productos a una nueva bodega.';
3670;9421138;'Balanceo Bodega';'La bodega con identificador 3670 está enviando productos a una nueva bodega.';
861;4763091;'Balanceo Bodega';'La bodega con identificador 861 está enviando productos a una nueva bodega.';
3722;4763091;'Balanceo Bodega';'La bodega con identificador 3722 está enviando productos a una nueva bodega.';
513;5463588;'Cierre Bodega';'La bodega con identificador 513 está en ampliacion.';
1797;5463588;'Balanceo Bodega';'La bodega con identificador 1797 está enviando productos a una nueva bodega.';
156;6177917;'Cierre Bodega';'La bodega con identificador 156 está en mantenimiento.';
412;4902517;'Cierre Bodega';'La bodega con identificador 412 está en mantenimiento.';
2863;3374463;'Cierre Bodega';'La bodega con identificador 2863 está en ampliacion.';
1744;3580727;'Balanceo Bodega';'La bodega con identificador 1744 está enviando productos a una nueva bodega.';
3403;7731252;'Cierre Bodega';'La bodega con identificador 3403 está en mantenimiento.';
4197;16980;'Cierre Bodega';'La bodega con identificador 4197 está en mantenimiento.';
2609;7227644;'Cierre Bodega';'La bodega con identificador 2609 está en ampliacion.';
2299;9723962;'Balanceo Bodega';'La bodega con identificador 2299 está enviando productos a una nueva bodega.';
1288;3831533;'Cierre Bodega';'La bodega con identificador 1288 está en ampliacion.';
2045;3831533;'Cierre Bodega';'La bodega con identificador 2045 está en mantenimiento.';
2737;3831533;'Cierre Bodega';'La bodega con identificador 2737 está en mantenimiento.';
95;7544471;'Cierre Bodega';'La bodega con identificador 95 está en mantenimiento.';
2506;6012;'Balanceo Bodega';'La bodega con identificador 2506 está enviando productos a una nueva bodega.';
4100;6092364;'Cierre Bodega';'La bodega con identificador 4100 está en mantenimiento.';
2325;7250061;'Cierre Bodega';'La bodega con identificador 2325 está en ampliacion.';
4442;7872601;'Cierre Bodega';'La bodega con identificador 4442 está en ampliacion.';
1617;1154357;'Cierre Bodega';'La bodega con identificador 1617 está en mantenimiento.';
411;8922160;'Cierre Bodega';'La bodega con identificador 411 está en ampliacion.';
2439;5394777;'Cierre Bodega';'La bodega con identificador 2439 está en mantenimiento.';
3657;5394777;'Cierre Bodega';'La bodega con identificador 3657 está en ampliacion.';
3137;8602793;'Cierre Bodega';'La bodega con identificador 3137 está en ampliacion.';
1337;3376006;'Balanceo Bodega';'La bodega con identificador 1337 está enviando productos a una nueva bodega.';
2873;3376006;'Balanceo Bodega';'La bodega con identificador 2873 está enviando productos a una nueva bodega.';
4370;8830662;'Cierre Bodega';'La bodega con identificador 4370 está en ampliacion.';
1882;630892;'Cierre Bodega';'La bodega con identificador 1882 está en ampliacion.';
2800;7354117;'Cierre Bodega';'La bodega con identificador 2800 está en mantenimiento.';
1238;8606513;'Cierre Bodega';'La bodega con identificador 1238 está en ampliacion.';
1403;8606513;'Balanceo Bodega';'La bodega con identificador 1403 está enviando productos a una nueva bodega.';
3642;8606513;'Cierre Bodega';'La bodega con identificador 3642 está en mantenimiento.';
3200;8272552;'Cierre Bodega';'La bodega con identificador 3200 está en mantenimiento.';
2424;2725122;'Balanceo Bodega';'La bodega con identificador 2424 está enviando productos a una nueva bodega.';
882;996842;'Balanceo Bodega';'La bodega con identificador 882 está enviando productos a una nueva bodega.';
1621;8667908;'Cierre Bodega';'La bodega con identificador 1621 está en mantenimiento.';
3843;4752036;'Cierre Bodega';'La bodega con identificador 3843 está en mantenimiento.';
1172;6514094;'Cierre Bodega';'La bodega con identificador 1172 está en ampliacion.';
2737;7841532;'Cierre Bodega';'La bodega con identificador 2737 está en mantenimiento.';
2796;7841532;'Balanceo Bodega';'La bodega con identificador 2796 está enviando productos a una nueva bodega.';
1313;7227566;'Cierre Bodega';'La bodega con identificador 1313 está en ampliacion.';
2703;9088597;'Cierre Bodega';'La bodega con identificador 2703 está en mantenimiento.';
1722;3534560;'Cierre Bodega';'La bodega con identificador 1722 está en ampliacion.';
1921;8153279;'Balanceo Bodega';'La bodega con identificador 1921 está enviando productos a una nueva bodega.';
44;664604;'Cierre Bodega';'La bodega con identificador 44 está en ampliacion.';
2106;8237419;'Cierre Bodega';'La bodega con identificador 2106 está en ampliacion.';
3284;8237419;'Cierre Bodega';'La bodega con identificador 3284 está en ampliacion.';
2251;5301995;'Balanceo Bodega';'La bodega con identificador 2251 está enviando productos a una nueva bodega.';
4100;5301995;'Cierre Bodega';'La bodega con identificador 4100 está en mantenimiento.';
318;4908199;'Cierre Bodega';'La bodega con identificador 318 está en mantenimiento.';
1077;7925777;'Balanceo Bodega';'La bodega con identificador 1077 está enviando productos a una nueva bodega.';
3657;5288205;'Cierre Bodega';'La bodega con identificador 3657 está en ampliacion.';
1486;2519617;'Balanceo Bodega';'La bodega con identificador 1486 está enviando productos a una nueva bodega.';
3101;9420501;'Balanceo Bodega';'La bodega con identificador 3101 está enviando productos a una nueva bodega.';
979;9420501;'Balanceo Bodega';'La bodega con identificador 979 está enviando productos a una nueva bodega.';
3999;4408632;'Cierre Bodega';'La bodega con identificador 3999 está en ampliacion.';
4422;8536069;'Balanceo Bodega';'La bodega con identificador 4422 está enviando productos a una nueva bodega.';
1701;2844839;'Cierre Bodega';'La bodega con identificador 1701 está en mantenimiento.';
2254;379759;'Cierre Bodega';'La bodega con identificador 2254 está en ampliacion.';
3585;6212669;'Cierre Bodega';'La bodega con identificador 3585 está en mantenimiento.';
555;3919809;'Cierre Bodega';'La bodega con identificador 555 está en mantenimiento.';
3060;3919809;'Cierre Bodega';'La bodega con identificador 3060 está en mantenimiento.';
928;3919809;'Cierre Bodega';'La bodega con identificador 928 está en mantenimiento.';
4404;716999;'Cierre Bodega';'La bodega con identificador 4404 está en ampliacion.';
546;8948205;'Cierre Bodega';'La bodega con identificador 546 está en ampliacion.';
2991;2732469;'Cierre Bodega';'La bodega con identificador 2991 está en mantenimiento.';
1529;7195065;'Cierre Bodega';'La bodega con identificador 1529 está en mantenimiento.';
3590;1516592;'Cierre Bodega';'La bodega con identificador 3590 está en mantenimiento.';
2783;4194229;'Balanceo Bodega';'La bodega con identificador 2783 está enviando productos a una nueva bodega.';
2344;9901658;'Cierre Bodega';'La bodega con identificador 2344 está en mantenimiento.';
2106;8079259;'Cierre Bodega';'La bodega con identificador 2106 está en ampliacion.';
1701;4455324;'Cierre Bodega';'La bodega con identificador 1701 está en mantenimiento.';
2397;8660388;'Cierre Bodega';'La bodega con identificador 2397 está en ampliacion.';
3260;3505410;'Cierre Bodega';'La bodega con identificador 3260 está en ampliacion.';
3977;3505410;'Balanceo Bodega';'La bodega con identificador 3977 está enviando productos a una nueva bodega.';
1814;9263353;'Cierre Bodega';'La bodega con identificador 1814 está en ampliacion.';
3591;7593070;'Cierre Bodega';'La bodega con identificador 3591 está en mantenimiento.';
4162;9458114;'Cierre Bodega';'La bodega con identificador 4162 está en ampliacion.';
3493;9458114;'Cierre Bodega';'La bodega con identificador 3493 está en mantenimiento.';
58;8508921;'Cierre Bodega';'La bodega con identificador 58 está en ampliacion.';
1213;4464918;'Cierre Bodega';'La bodega con identificador 1213 está en ampliacion.';
3200;7263055;'Cierre Bodega';'La bodega con identificador 3200 está en mantenimiento.';
688;2866818;'Cierre Bodega';'La bodega con identificador 688 está en mantenimiento.';
2277;2023583;'Cierre Bodega';'La bodega con identificador 2277 está en ampliacion.';
4371;6120232;'Cierre Bodega';'La bodega con identificador 4371 está en ampliacion.';
137;9059271;'Balanceo Bodega';'La bodega con identificador 137 está enviando productos a una nueva bodega.';
2438;5688316;'Cierre Bodega';'La bodega con identificador 2438 está en ampliacion.';
4345;5688316;'Balanceo Bodega';'La bodega con identificador 4345 está enviando productos a una nueva bodega.';
1456;6833712;'Cierre Bodega';'La bodega con identificador 1456 está en ampliacion.';
2182;1728183;'Cierre Bodega';'La bodega con identificador 2182 está en mantenimiento.';
2440;7363027;'Cierre Bodega';'La bodega con identificador 2440 está en mantenimiento.';
130;4520029;'Cierre Bodega';'La bodega con identificador 130 está en ampliacion.';
923;7276728;'Cierre Bodega';'La bodega con identificador 923 está en mantenimiento.';
4085;4480439;'Balanceo Bodega';'La bodega con identificador 4085 está enviando productos a una nueva bodega.';
2467;3693007;'Balanceo Bodega';'La bodega con identificador 2467 está enviando productos a una nueva bodega.';
4098;96109;'Cierre Bodega';'La bodega con identificador 4098 está en mantenimiento.';
3493;3082309;'Cierre Bodega';'La bodega con identificador 3493 está en mantenimiento.';
236;8124308;'Cierre Bodega';'La bodega con identificador 236 está en ampliacion.';
3642;8124308;'Cierre Bodega';'La bodega con identificador 3642 está en mantenimiento.';
3514;1766578;'Balanceo Bodega';'La bodega con identificador 3514 está enviando productos a una nueva bodega.';
1501;3176746;'Cierre Bodega';'La bodega con identificador 1501 está en mantenimiento.';
44;8699730;'Cierre Bodega';'La bodega con identificador 44 está en ampliacion.';
3460;4344489;'Cierre Bodega';'La bodega con identificador 3460 está en ampliacion.';
3393;1316290;'Balanceo Bodega';'La bodega con identificador 3393 está enviando productos a una nueva bodega.';
945;3097033;'Cierre Bodega';'La bodega con identificador 945 está en ampliacion.';
3382;3097033;'Cierre Bodega';'La bodega con identificador 3382 está en ampliacion.';
2923;7726829;'Balanceo Bodega';'La bodega con identificador 2923 está enviando productos a una nueva bodega.';
3591;4460299;'Cierre Bodega';'La bodega con identificador 3591 está en mantenimiento.';
3642;4460299;'Cierre Bodega';'La bodega con identificador 3642 está en mantenimiento.';
713;1010471;'Cierre Bodega';'La bodega con identificador 713 está en mantenimiento.';
1039;8487880;'Balanceo Bodega';'La bodega con identificador 1039 está enviando productos a una nueva bodega.';
601;3118761;'Cierre Bodega';'La bodega con identificador 601 está en ampliacion.';
884;7635863;'Balanceo Bodega';'La bodega con identificador 884 está enviando productos a una nueva bodega.';
1172;8443929;'Cierre Bodega';'La bodega con identificador 1172 está en ampliacion.';
872;8443929;'Cierre Bodega';'La bodega con identificador 872 está en mantenimiento.';
942;1267746;'Cierre Bodega';'La bodega con identificador 942 está en ampliacion.';
316;3178307;'Cierre Bodega';'La bodega con identificador 316 está en mantenimiento.';
3418;2481239;'Balanceo Bodega';'La bodega con identificador 3418 está enviando productos a una nueva bodega.';
604;2107163;'Balanceo Bodega';'La bodega con identificador 604 está enviando productos a una nueva bodega.';
3730;9792507;'Balanceo Bodega';'La bodega con identificador 3730 está enviando productos a una nueva bodega.';
3017;2310353;'Cierre Bodega';'La bodega con identificador 3017 está en ampliacion.';
1097;5176175;'Balanceo Bodega';'La bodega con identificador 1097 está enviando productos a una nueva bodega.';
4100;7863045;'Cierre Bodega';'La bodega con identificador 4100 está en mantenimiento.';
3591;514416;'Cierre Bodega';'La bodega con identificador 3591 está en mantenimiento.';
2685;514416;'Balanceo Bodega';'La bodega con identificador 2685 está enviando productos a una nueva bodega.';
3894;7707506;'Cierre Bodega';'La bodega con identificador 3894 está en ampliacion.';
937;7707506;'Balanceo Bodega';'La bodega con identificador 937 está enviando productos a una nueva bodega.';
739;9258450;'Cierre Bodega';'La bodega con identificador 739 está en ampliacion.';
488;8738511;'Balanceo Bodega';'La bodega con identificador 488 está enviando productos a una nueva bodega.';
184;7019752;'Cierre Bodega';'La bodega con identificador 184 está en mantenimiento.';
3056;2919522;'Balanceo Bodega';'La bodega con identificador 3056 está enviando productos a una nueva bodega.';
3585;5222939;'Cierre Bodega';'La bodega con identificador 3585 está en mantenimiento.';
626;5279521;'Cierre Bodega';'La bodega con identificador 626 está en ampliacion.';
3097;8225167;'Balanceo Bodega';'La bodega con identificador 3097 está enviando productos a una nueva bodega.';
3534;4754066;'Cierre Bodega';'La bodega con identificador 3534 está en ampliacion.';
2462;5407602;'Balanceo Bodega';'La bodega con identificador 2462 está enviando productos a una nueva bodega.';
431;5794211;'Balanceo Bodega';'La bodega con identificador 431 está enviando productos a una nueva bodega.';
1974;4264549;'Balanceo Bodega';'La bodega con identificador 1974 está enviando productos a una nueva bodega.';
2803;3632243;'Cierre Bodega';'La bodega con identificador 2803 está en ampliacion.';
1412;6889155;'Balanceo Bodega';'La bodega con identificador 1412 está enviando productos a una nueva bodega.';
2393;7523870;'Cierre Bodega';'La bodega con identificador 2393 está en mantenimiento.';
688;4103622;'Cierre Bodega';'La bodega con identificador 688 está en mantenimiento.';
1861;7814810;'Balanceo Bodega';'La bodega con identificador 1861 está enviando productos a una nueva bodega.';
3922;4293991;'Cierre Bodega';'La bodega con identificador 3922 está en mantenimiento.';
1456;5446806;'Cierre Bodega';'La bodega con identificador 1456 está en ampliacion.';
149;2380062;'Balanceo Bodega';'La bodega con identificador 149 está enviando productos a una nueva bodega.';
64;2380062;'Balanceo Bodega';'La bodega con identificador 64 está enviando productos a una nueva bodega.';
2875;2912606;'Cierre Bodega';'La bodega con identificador 2875 está en mantenimiento.';
1666;4390913;'Cierre Bodega';'La bodega con identificador 1666 está en ampliacion.';
3894;63938;'Cierre Bodega';'La bodega con identificador 3894 está en ampliacion.';
2346;63938;'Balanceo Bodega';'La bodega con identificador 2346 está enviando productos a una nueva bodega.';
2609;9744961;'Cierre Bodega';'La bodega con identificador 2609 está en ampliacion.';
4164;9744961;'Cierre Bodega';'La bodega con identificador 4164 está en ampliacion.';
2649;8832601;'Balanceo Bodega';'La bodega con identificador 2649 está enviando productos a una nueva bodega.';
2397;8832601;'Cierre Bodega';'La bodega con identificador 2397 está en ampliacion.';
3352;8832601;'Cierre Bodega';'La bodega con identificador 3352 está en ampliacion.';
1685;880526;'Balanceo Bodega';'La bodega con identificador 1685 está enviando productos a una nueva bodega.';
956;3796508;'Cierre Bodega';'La bodega con identificador 956 está en ampliacion.';
3430;4199393;'Balanceo Bodega';'La bodega con identificador 3430 está enviando productos a una nueva bodega.';
239;3547343;'Cierre Bodega';'La bodega con identificador 239 está en mantenimiento.';
1910;3440099;'Cierre Bodega';'La bodega con identificador 1910 está en ampliacion.';
2124;3440099;'Cierre Bodega';'La bodega con identificador 2124 está en ampliacion.';
1820;3440099;'Cierre Bodega';'La bodega con identificador 1820 está en mantenimiento.';
2039;3440099;'Balanceo Bodega';'La bodega con identificador 2039 está enviando productos a una nueva bodega.';
3452;3954764;'Balanceo Bodega';'La bodega con identificador 3452 está enviando productos a una nueva bodega.';
960;369662;'Cierre Bodega';'La bodega con identificador 960 está en mantenimiento.';
1660;5072038;'Cierre Bodega';'La bodega con identificador 1660 está en ampliacion.';
842;9448007;'Cierre Bodega';'La bodega con identificador 842 está en ampliacion.';
1163;9448007;'Balanceo Bodega';'La bodega con identificador 1163 está enviando productos a una nueva bodega.';
1713;9360670;'Cierre Bodega';'La bodega con identificador 1713 está en ampliacion.';
824;3722964;'Cierre Bodega';'La bodega con identificador 824 está en mantenimiento.';
479;6028682;'Cierre Bodega';'La bodega con identificador 479 está en mantenimiento.';
59;1939596;'Cierre Bodega';'La bodega con identificador 59 está en ampliacion.';
3050;6940730;'Balanceo Bodega';'La bodega con identificador 3050 está enviando productos a una nueva bodega.';
1976;9586804;'Cierre Bodega';'La bodega con identificador 1976 está en mantenimiento.';
2333;2409906;'Cierre Bodega';'La bodega con identificador 2333 está en ampliacion.';
2794;9868190;'Balanceo Bodega';'La bodega con identificador 2794 está enviando productos a una nueva bodega.';
611;1137972;'Cierre Bodega';'La bodega con identificador 611 está en mantenimiento.';
3574;7820226;'Cierre Bodega';'La bodega con identificador 3574 está en ampliacion.';
1556;8766169;'Cierre Bodega';'La bodega con identificador 1556 está en mantenimiento.';
4153;2577601;'Cierre Bodega';'La bodega con identificador 4153 está en mantenimiento.';
3260;8060154;'Cierre Bodega';'La bodega con identificador 3260 está en ampliacion.';
1456;5794149;'Cierre Bodega';'La bodega con identificador 1456 está en ampliacion.';
3136;1519227;'Cierre Bodega';'La bodega con identificador 3136 está en mantenimiento.';
4030;6276073;'Balanceo Bodega';'La bodega con identificador 4030 está enviando productos a una nueva bodega.';
3584;4150499;'Cierre Bodega';'La bodega con identificador 3584 está en mantenimiento.';
1456;487947;'Cierre Bodega';'La bodega con identificador 1456 está en ampliacion.';
122;1095680;'Cierre Bodega';'La bodega con identificador 122 está en ampliacion.';
4464;1095680;'Balanceo Bodega';'La bodega con identificador 4464 está enviando productos a una nueva bodega.';
3993;7231702;'Cierre Bodega';'La bodega con identificador 3993 está en mantenimiento.';
2569;7231702;'Balanceo Bodega';'La bodega con identificador 2569 está enviando productos a una nueva bodega.';
2861;8142003;'Balanceo Bodega';'La bodega con identificador 2861 está enviando productos a una nueva bodega.';
3352;219881;'Cierre Bodega';'La bodega con identificador 3352 está en ampliacion.';
528;6234956;'Cierre Bodega';'La bodega con identificador 528 está en ampliacion.';
3465;9049857;'Cierre Bodega';'La bodega con identificador 3465 está en ampliacion.';
3048;858238;'Cierre Bodega';'La bodega con identificador 3048 está en mantenimiento.';
59;614670;'Cierre Bodega';'La bodega con identificador 59 está en ampliacion.';
2108;2755929;'Cierre Bodega';'La bodega con identificador 2108 está en ampliacion.';
3731;2755929;'Cierre Bodega';'La bodega con identificador 3731 está en mantenimiento.';
991;3108914;'Balanceo Bodega';'La bodega con identificador 991 está enviando productos a una nueva bodega.';
1341;9612698;'Cierre Bodega';'La bodega con identificador 1341 está en mantenimiento.';
1722;9760656;'Cierre Bodega';'La bodega con identificador 1722 está en ampliacion.';
879;9760656;'Cierre Bodega';'La bodega con identificador 879 está en mantenimiento.';
1407;8365282;'Balanceo Bodega';'La bodega con identificador 1407 está enviando productos a una nueva bodega.';
3072;8365282;'Cierre Bodega';'La bodega con identificador 3072 está en ampliacion.';
2112;897054;'Cierre Bodega';'La bodega con identificador 2112 está en mantenimiento.';
1666;897054;'Cierre Bodega';'La bodega con identificador 1666 está en ampliacion.';
3084;6378149;'Balanceo Bodega';'La bodega con identificador 3084 está enviando productos a una nueva bodega.';
169;8592713;'Balanceo Bodega';'La bodega con identificador 169 está enviando productos a una nueva bodega.';
4387;5694830;'Balanceo Bodega';'La bodega con identificador 4387 está enviando productos a una nueva bodega.';
415;5694830;'Cierre Bodega';'La bodega con identificador 415 está en ampliacion.';
2703;7020829;'Cierre Bodega';'La bodega con identificador 2703 está en mantenimiento.';
513;6540295;'Cierre Bodega';'La bodega con identificador 513 está en ampliacion.';
2826;4966557;'Balanceo Bodega';'La bodega con identificador 2826 está enviando productos a una nueva bodega.';
296;4966557;'Cierre Bodega';'La bodega con identificador 296 está en ampliacion.';
112;330185;'Cierre Bodega';'La bodega con identificador 112 está en ampliacion.';
1691;9368726;'Cierre Bodega';'La bodega con identificador 1691 está en mantenimiento.';
728;6629781;'Cierre Bodega';'La bodega con identificador 728 está en ampliacion.';
2462;2011950;'Balanceo Bodega';'La bodega con identificador 2462 está enviando productos a una nueva bodega.';
1290;9720981;'Cierre Bodega';'La bodega con identificador 1290 está en mantenimiento.';
482;2145893;'Cierre Bodega';'La bodega con identificador 482 está en mantenimiento.';
2176;1478340;'Cierre Bodega';'La bodega con identificador 2176 está en mantenimiento.';
3793;6791529;'Cierre Bodega';'La bodega con identificador 3793 está en mantenimiento.';
516;6791529;'Balanceo Bodega';'La bodega con identificador 516 está enviando productos a una nueva bodega.';
3382;616575;'Cierre Bodega';'La bodega con identificador 3382 está en ampliacion.';
2818;7140151;'Cierre Bodega';'La bodega con identificador 2818 está en ampliacion.';
3272;7140151;'Balanceo Bodega';'La bodega con identificador 3272 está enviando productos a una nueva bodega.';
2041;6169450;'Balanceo Bodega';'La bodega con identificador 2041 está enviando productos a una nueva bodega.';
136;7419925;'Cierre Bodega';'La bodega con identificador 136 está en mantenimiento.';
139;1878058;'Balanceo Bodega';'La bodega con identificador 139 está enviando productos a una nueva bodega.';
555;7172622;'Cierre Bodega';'La bodega con identificador 555 está en mantenimiento.';
1814;2501940;'Cierre Bodega';'La bodega con identificador 1814 está en ampliacion.';
2700;2645809;'Balanceo Bodega';'La bodega con identificador 2700 está enviando productos a una nueva bodega.';
682;5488903;'Cierre Bodega';'La bodega con identificador 682 está en mantenimiento.';
1908;8368567;'Balanceo Bodega';'La bodega con identificador 1908 está enviando productos a una nueva bodega.';
4100;8932014;'Cierre Bodega';'La bodega con identificador 4100 está en mantenimiento.';
876;8087110;'Balanceo Bodega';'La bodega con identificador 876 está enviando productos a una nueva bodega.';
2344;36507;'Cierre Bodega';'La bodega con identificador 2344 está en mantenimiento.';
664;5799031;'Cierre Bodega';'La bodega con identificador 664 está en ampliacion.';
1049;1017674;'Cierre Bodega';'La bodega con identificador 1049 está en ampliacion.';
1145;3124333;'Cierre Bodega';'La bodega con identificador 1145 está en mantenimiento.';
4454;8306055;'Cierre Bodega';'La bodega con identificador 4454 está en mantenimiento.';
1330;5311268;'Cierre Bodega';'La bodega con identificador 1330 está en mantenimiento.';
2396;1786816;'Balanceo Bodega';'La bodega con identificador 2396 está enviando productos a una nueva bodega.';
223;9139679;'Balanceo Bodega';'La bodega con identificador 223 está enviando productos a una nueva bodega.';
3662;4651932;'Balanceo Bodega';'La bodega con identificador 3662 está enviando productos a una nueva bodega.';
